"",BBK01.CEF00C,BBK01.CEF00C_FLAGS
"",Total financial assets  debtor:  Total                   creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:39,
1999-01,527.2,
1999-04,522.1,
1999-07,509.5,
1999-10,559.5,
2000-01,572.2,
2000-04,579.7,
2000-07,628.7,
2000-10,574.3,
2001-01,540.6,
2001-04,537.8,
2001-07,523.2,
2001-10,524.2,
2002-01,523.8,
2002-04,514.7,
2002-07,508.1,
2002-10,491.6,
2003-01,494.6,
2003-04,492.7,
2003-07,481.3,
2003-10,500.9,
2004-01,517.5,
2004-04,514.3,
2004-07,501.2,
2004-10,494.2,
2005-01,500.8,
2005-04,501.2,
2005-07,509.1,
2005-10,506.6,
2006-01,506.3,
2006-04,511.8,
2006-07,516.3,
2006-10,524.9,
2007-01,521.8,
2007-04,556.4,
2007-07,526.8,
2007-10,581.2,
2008-01,585.8,
2008-04,628.8,
2008-07,626.2,
2008-10,647.6,
2009-01,662.3,
2009-04,722.8,
2009-07,707.8,
2009-10,696.4,
2010-01,701.1,
2010-04,747.7,
2010-07,735.7,
2010-10,938.0,
2011-01,930.9,
2011-04,954.8,
2011-07,953.2,
2011-10,939.1,
2012-01,962.6,
2012-04,1032.4,
2012-07,1043.3,
2012-10,1036.7,
2013-01,1030.0,
2013-04,1037.6,
2013-07,1012.8,
2013-10,1039.4,
2014-01,1026.0,
2014-04,1046.4,
2014-07,1047.1,
