"",BBK01.OEAH80L,BBK01.OEAH80L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:31,
2002-01,0.210,
2002-04,0.226,
2002-07,0.238,
2002-10,0.240,
2003-01,0.202,
2003-04,0.194,
2003-07,0.191,
2003-10,0.205,
2004-01,0.203,
2004-04,0.180,
2004-07,0.155,
2004-10,0.123,
2005-01,0.121,
2005-04,0.125,
2005-07,0.123,
2005-10,0.123,
2006-01,0.112,
2006-04,0.134,
2006-07,0.115,
2006-10,0.101,
2007-01,0.106,
2007-04,0.100,
2007-07,0.104,
2007-10,0.119,
2008-01,0.115,
2008-04,0.102,
2008-07,0.105,
2008-10,0.104,
2009-01,0.109,
2009-04,0.110,
2009-07,0.115,
2009-10,0.120,
2010-01,0.118,
2010-04,0.133,
2010-07,0.123,
2010-10,0.118,
2011-01,0.118,
2011-04,0.125,
2011-07,0.128,
2011-10,0.127,
2012-01,0.125,
2012-04,0.125,
2012-07,0.123,
2012-10,0.117,
2013-01,0.111,
2013-04,0.097,
2013-07,0.098,
2013-10,0.091,
2014-01,0.094,
2014-04,0.079,
2014-07,0.078,
