"",BBK01.OEYB12J,BBK01.OEYB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:51,
2002-01,2.144,
2002-04,2.169,
2002-07,2.292,
2002-10,2.508,
2003-01,2.516,
2003-04,2.393,
2003-07,2.387,
2003-10,2.450,
2004-01,2.580,
2004-04,2.661,
2004-07,2.646,
2004-10,2.656,
2005-01,2.920,
2005-04,3.090,
2005-07,3.151,
2005-10,3.216,
2006-01,3.359,
2006-04,3.318,
2006-07,3.365,
2006-10,2.448,
2007-01,2.492,
2007-04,2.555,
2007-07,2.705,
2007-10,2.716,
2008-01,2.782,
2008-04,2.864,
2008-07,2.801,
2008-10,2.743,
2009-01,2.704,
2009-04,2.722,
2009-07,2.710,
2009-10,2.741,
2010-01,2.761,
2010-04,5.396,
2010-07,5.272,
2010-10,5.527,
2011-01,5.474,
2011-04,5.339,
2011-07,5.465,
2011-10,5.532,
2012-01,5.000,
2012-04,5.408,
2012-07,5.228,
2012-10,5.201,
2013-01,5.206,
2013-04,5.099,
2013-07,5.179,
2013-10,5.026,
2014-01,5.087,
2014-04,5.019,
2014-07,5.019,
