"",BBSF2.M.1.S.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:56,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,-1032,
1993-05,403,
1993-06,387,
1993-07,975,
1993-08,1772,
1993-09,742,
1993-10,746,
1993-11,542,
1993-12,1454,
1994-01,675,
1994-02,965,
1994-03,1016,
1994-04,456,
1994-05,268,
1994-06,2064,
1994-07,687,
1994-08,647,
1994-09,315,
1994-10,211,
1994-11,888,
1994-12,1080,
1995-01,292,
1995-02,632,
1995-03,1379,
1995-04,190,
1995-05,161,
1995-06,229,
1995-07,908,
1995-08,-46,
1995-09,320,
1995-10,205,
1995-11,-81,
1995-12,2099,
1996-01,1674,
1996-02,830,
1996-03,777,
1996-04,615,
1996-05,546,
1996-06,575,
1996-07,568,
1996-08,452,
1996-09,-45,
1996-10,1481,
1996-11,634,
1996-12,1500,
1997-01,1576,
1997-02,985,
1997-03,1520,
1997-04,1487,
1997-05,314,
1997-06,2370,
1997-07,369,
1997-08,941,
1997-09,-295,
1997-10,-1065,
1997-11,347,
1997-12,2986,
1998-01,1008,
1998-02,1339,
1998-03,723,
1998-04,613,
1998-05,1607,
1998-06,929,
1998-07,1209,
1998-08,1953,
1998-09,322,
1998-10,1330,
1998-11,-580,
1998-12,3941,
1999-01,2157,
1999-02,1462,
1999-03,568,
1999-04,2939,
1999-05,1820,
1999-06,307,
1999-07,577,
1999-08,61,
1999-09,403,
1999-10,717,
1999-11,1640,
1999-12,6647,
2000-01,1318,
2000-02,-252,
2000-03,719,
2000-04,1749,
2000-05,1063,
2000-06,567,
2000-07,639,
2000-08,1011,
2000-09,156,
2000-10,584,
2000-11,-687,
2000-12,3679,
2001-01,3148,
2001-02,1020,
2001-03,162,
2001-04,394,
2001-05,-1508,
2001-06,394,
2001-07,1331,
2001-08,36,
2001-09,483,
2001-10,494,
2001-11,-11,
2001-12,7689,
2002-01,868,
2002-02,999,
2002-03,-262,
2002-04,1171,
2002-05,887,
2002-06,-661,
2002-07,-326,
2002-08,1455,
2002-09,547,
2002-10,1772,
2002-11,-149,
2002-12,1407,
2003-01,1342,
2003-02,1838,
2003-03,-1249,
2003-04,252,
2003-05,239,
2003-06,274,
2003-07,700,
2003-08,345,
2003-09,148,
2003-10,-3181,
2003-11,530,
2003-12,-2425,
2004-01,-2130,
2004-02,-310,
2004-03,-278,
2004-04,-212,
2004-05,-994,
2004-06,-246,
2004-07,-1864,
2004-08,-771,
2004-09,-502,
2004-10,578,
2004-11,1240,
2004-12,4501,
2005-01,1509,
2005-02,730,
2005-03,-360,
2005-04,-150,
2005-05,1255,
2005-06,8,
2005-07,1629,
2005-08,-1335,
2005-09,435,
2005-10,-406,
2005-11,-77,
2005-12,1862,
2006-01,1301,
2006-02,-710,
2006-03,1118,
2006-04,-182,
2006-05,189,
2006-06,-41,
2006-07,-4328,
2006-08,-7287,
2006-09,9131,
2006-10,-238,
2006-11,83,
2006-12,-492,
2007-01,4123,
2007-02,2395,
2007-03,1372,
2007-04,3223,
2007-05,-2943,
2007-06,618,
2007-07,570,
2007-08,386,
2007-09,-21,
2007-10,427,
2007-11,-3161,
2007-12,7274,
2008-01,-2012,
2008-02,453,
2008-03,870,
2008-04,1994,
2008-05,807,
2008-06,-1796,
2008-07,130,
2008-08,1047,
2008-09,831,
2008-10,-669,
2008-11,318,
2008-12,1862,
2009-01,2627,
2009-02,718,
2009-03,2083,
2009-04,111,
2009-05,-1564,
2009-06,184,
2009-07,5448,
2009-08,2389,
2009-09,1994,
2009-10,-891,
2009-11,1176,
2009-12,5086,
2010-01,4712,
2010-02,2509,
2010-03,1878,
2010-04,1621,
2010-05,1252,
2010-06,-493,
2010-07,-649,
2010-08,2019,
2010-09,2406,
2010-10,3686,
2010-11,2537,
2010-12,2760,
2011-01,2433,
2011-02,2053,
2011-03,-110,
2011-04,-180,
2011-05,-1856,
2011-06,1007,
2011-07,118,
2011-08,571,
2011-09,344,
2011-10,2035,
2011-11,2315,
2011-12,6645,
2012-01,4788,
2012-02,2764,
2012-03,2759,
2012-04,94,
2012-05,169,
2012-06,3762,
2012-07,2888,
2012-08,1341,
2012-09,937,
2012-10,1998,
2012-11,1131,
2012-12,3695,
2013-01,3364,
2013-02,460,
2013-03,1984,
2013-04,723,
2013-05,-70,
2013-06,-320,
2013-07,1635,
2013-08,80,
2013-09,364,
2013-10,1141,
2013-11,7452,
2013-12,2456,
2014-01,2745,
2014-02,2369,
2014-03,7261,
2014-04,-4264,
2014-05,1728,
2014-06,1233,
2014-07,2499,
2014-08,2239,
2014-09,2196,
2014-10,1944,
2014-11,1198,
