"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Liabilities - Positions - Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:30,
1999-10,130011,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,163595,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,179286,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,167066,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,174454,
2004-01,181370,
2004-04,175949,
2004-07,173008,
2004-10,171009,
2005-01,169578,
2005-04,173851,
2005-07,187378,
2005-10,178524,
2006-01,195027,
2006-04,211786,
2006-07,224210,
2006-10,244551,
2007-01,260583,
2007-04,277940,
2007-07,278341,
2007-10,251361,
2008-01,274982,
2008-04,284367,
2008-07,280869,
2008-10,319321,
2009-01,310624,
2009-04,302799,
2009-07,303838,
2009-10,331800,
2010-01,326274,
2010-04,340868,
2010-07,354178,
2010-10,352019,
2011-01,346171,
2011-04,355842,
2011-07,384321,
2011-10,379517,
2012-01,394103,
2012-04,406510,
2012-07,392800,
2012-10,234588,
2013-01,244048,
2013-04,254707,
2013-07,238100,
2013-10,209995,
2014-01,217177,
2014-04,222121,
2014-07,222622,
