"",BBK01.OEBI03S,BBK01.OEBI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:29,
2002-01,1.209,
2002-04,1.126,
2002-07,1.060,
2002-10,0.940,
2003-01,0.816,
2003-04,0.743,
2003-07,0.733,
2003-10,0.648,
2004-01,0.561,
2004-04,0.514,
2004-07,0.479,
2004-10,0.518,
2005-01,0.637,
2005-04,0.627,
2005-07,0.606,
2005-10,0.663,
2006-01,0.700,
2006-04,0.732,
2006-07,0.815,
2006-10,0.845,
2007-01,1.007,
2007-04,1.090,
2007-07,1.250,
2007-10,1.379,
2008-01,1.472,
2008-04,1.559,
2008-07,1.758,
2008-10,1.652,
2009-01,1.115,
2009-04,0.926,
2009-07,0.758,
2009-10,0.658,
2010-01,0.602,
2010-04,0.563,
2010-07,0.534,
2010-10,0.519,
2011-01,0.591,
2011-04,0.559,
2011-07,0.580,
2011-10,1.089,
2012-01,1.351,
2012-04,1.522,
2012-07,1.589,
2012-10,1.548,
2013-01,1.226,
2013-04,1.575,
2013-07,1.487,
2013-10,1.449,
2014-01,1.422,
2014-04,1.429,
2014-07,1.366,
