"",BBK01.OELK03S,BBK01.OELK03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:28,
2002-01,0.064,
2002-04,0.062,
2002-07,0.060,
2002-10,0.056,
2003-01,0.054,
2003-04,0.049,
2003-07,0.046,
2003-10,0.045,
2004-01,0.046,
2004-04,0.042,
2004-07,0.041,
2004-10,0.043,
2005-01,0.042,
2005-04,0.042,
2005-07,0.043,
2005-10,0.044,
2006-01,0.046,
2006-04,0.038,
2006-07,0.035,
2006-10,0.034,
2007-01,0.035,
2007-04,0.033,
2007-07,0.032,
2007-10,0.036,
2008-01,0.036,
2008-04,0.037,
2008-07,0.039,
2008-10,0.047,
2009-01,0.043,
2009-04,0.035,
2009-07,0.030,
2009-10,0.029,
2010-01,0.026,
2010-04,0.023,
2010-07,0.024,
2010-10,0.026,
2011-01,0.026,
2011-04,0.024,
2011-07,0.024,
2011-10,0.023,
2012-01,0.024,
2012-04,0.025,
2012-07,0.026,
2012-10,0.023,
2013-01,0.023,
2013-04,0.024,
2013-07,0.023,
2013-10,0.024,
2014-01,0.023,
2014-04,0.024,
2014-07,0.027,
