"",BBFB1.Q.N.DE.AU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:49,
1991-01,214.617,
1991-04,212.455,
1991-07,203.931,
1991-10,202.193,
1992-01,173.625,
1992-04,171.807,
1992-07,152.273,
1992-10,127.979,
1993-01,98.835,
1993-04,95.704,
1993-07,96.117,
1993-10,100.978,
1994-01,176.311,
1994-04,191.499,
1994-07,188.799,
1994-10,191.141,
1995-01,136.795,
1995-04,124.369,
1995-07,126.198,
1995-10,121.891,
1996-01,160.787,
1996-04,200.249,
1996-07,172.021,
1996-10,169.764,
1997-01,154.089,
1997-04,159.390,
1997-07,197.445,
1997-10,178.804,
1998-01,108.937,
1998-04,125.435,
1998-07,94.568,
1998-10,99.832,
1999-01,65.407,
1999-04,53.977,
1999-07,30.126,
1999-10,79.943,
2000-01,114.239,
2000-04,83.350,
2000-07,122.850,
2000-10,151.745,
2001-01,163.587,
2001-04,132.350,
2001-07,135.672,
2001-10,174.407,
2002-01,161.988,
2002-04,148.143,
2002-07,142.917,
2002-10,145.423,
2003-01,130.830,
2003-04,129.734,
2003-07,140.809,
2003-10,138.616,
2004-01,192.951,
2004-04,178.250,
2004-07,181.096,
2004-10,182.526,
2005-01,236.376,
2005-04,224.057,
2005-07,239.618,
2005-10,227.932,
2006-01,62.408,
2006-04,43.764,
2006-07,47.646,
2006-10,47.922,
2007-01,89.335,
2007-04,91.851,
2007-07,99.809,
2007-10,113.608,
2008-01,227.657,
2008-04,102.956,
2008-07,112.082,
2008-10,220.248,
2009-01,244.363,
2009-04,111.873,
2009-07,206.537,
2009-10,222.735,
2010-01,237.370,
2010-04,220.221,
2010-07,225.528,
2010-10,258.233,
2011-01,128.502,
2011-04,136.755,
2011-07,172.909,
2011-10,159.582,
2012-01,162.700,
2012-04,136.784,
2012-07,180.514,
2012-10,174.203,
2013-01,56.289,
2013-04,47.657,
2013-07,104.347,
2013-10,82.517,
2014-01,71.534,Provisional value
2014-04,56.892,Provisional value
2014-07,200.702,Provisional value
