"",BBK01.OEAH01L,BBK01.OEAH01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:04,
2002-01,399.775,
2002-04,400.665,
2002-07,403.694,
2002-10,389.531,
2003-01,421.792,
2003-04,425.065,
2003-07,439.659,
2003-10,421.092,
2004-01,455.503,
2004-04,454.255,
2004-07,478.114,
2004-10,470.363,
2005-01,501.466,
2005-04,509.118,
2005-07,521.718,
2005-10,498.359,
2006-01,527.565,
2006-04,535.004,
2006-07,544.873,
2006-10,533.172,
2007-01,535.029,
2007-04,567.765,
2007-07,553.888,
2007-10,551.852,
2008-01,584.939,
2008-04,562.841,
2008-07,573.959,
2008-10,555.725,
2009-01,555.818,
2009-04,552.762,
2009-07,521.720,
2009-10,511.075,
2010-01,510.078,
2010-04,525.240,
2010-07,526.267,
2010-10,543.965,
2011-01,544.351,
2011-04,570.373,
2011-07,573.854,
2011-10,560.720,
2012-01,565.760,
2012-04,558.751,
2012-07,567.070,
2012-10,576.742,
2013-01,597.210,
2013-04,626.097,
2013-07,587.131,
2013-10,606.495,
2014-01,595.559,
2014-04,598.964,
2014-07,619.880,
