"",BBK01.OEAH46V,BBK01.OEAH46V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:02,
2002-01,0.655,
2002-04,0.641,
2002-07,0.643,
2002-10,0.666,
2003-01,0.660,
2003-04,0.624,
2003-07,0.653,
2003-10,0.642,
2004-01,0.624,
2004-04,0.541,
2004-07,0.534,
2004-10,0.545,
2005-01,0.546,
2005-04,0.526,
2005-07,0.499,
2005-10,0.510,
2006-01,0.544,
2006-04,0.545,
2006-07,0.550,
2006-10,0.574,
2007-01,0.591,
2007-04,0.608,
2007-07,0.671,
2007-10,0.709,
2008-01,0.732,
2008-04,0.745,
2008-07,0.775,
2008-10,0.763,
2009-01,0.504,
2009-04,0.421,
2009-07,0.324,
2009-10,0.290,
2010-01,0.253,
2010-04,0.239,
2010-07,0.202,
2010-10,0.190,
2011-01,0.195,
2011-04,0.254,
2011-07,0.257,
2011-10,0.267,
2012-01,0.207,
2012-04,0.936,
2012-07,0.919,
2012-10,0.941,
2013-01,0.940,
2013-04,0.935,
2013-07,0.942,
2013-10,0.938,
2014-01,0.941,
2014-04,0.935,
2014-07,0.931,
