"",BBK01.OEAF36M,BBK01.OEAF36M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:37,
2002-01,10.132,
2002-04,10.308,
2002-07,10.409,
2002-10,10.479,
2003-01,10.754,
2003-04,10.548,
2003-07,9.369,
2003-10,9.539,
2004-01,9.455,
2004-04,9.568,
2004-07,9.655,
2004-10,9.805,
2005-01,9.758,
2005-04,9.728,
2005-07,9.866,
2005-10,9.912,
2006-01,9.770,
2006-04,9.900,
2006-07,9.887,
2006-10,9.685,
2007-01,9.600,
2007-04,9.688,
2007-07,9.863,
2007-10,9.902,
2008-01,9.909,
2008-04,9.920,
2008-07,9.824,
2008-10,9.858,
2009-01,10.018,
2009-04,10.209,
2009-07,10.786,
2009-10,10.263,
2010-01,10.152,
2010-04,10.626,
2010-07,10.722,
2010-10,10.600,
2011-01,10.543,
2011-04,10.500,
2011-07,10.757,
2011-10,10.804,
2012-01,10.793,
2012-04,10.836,
2012-07,10.788,
2012-10,10.641,
2013-01,10.649,
2013-04,10.545,
2013-07,10.540,
2013-10,10.498,
2014-01,10.459,
2014-04,10.663,
2014-07,10.724,
