"",BBK01.OEHB24T,BBK01.OEHB24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:28,
2002-01,0.674,
2002-04,0.683,
2002-07,0.689,
2002-10,0.718,
2003-01,0.831,
2003-04,0.810,
2003-07,0.844,
2003-10,0.904,
2004-01,0.972,
2004-04,1.011,
2004-07,1.045,
2004-10,1.070,
2005-01,1.087,
2005-04,1.109,
2005-07,1.129,
2005-10,1.177,
2006-01,1.206,
2006-04,1.260,
2006-07,1.277,
2006-10,1.301,
2007-01,1.311,
2007-04,1.350,
2007-07,1.349,
2007-10,1.396,
2008-01,1.409,
2008-04,1.429,
2008-07,1.430,
2008-10,1.459,
2009-01,1.460,
2009-04,1.470,
2009-07,1.476,
2009-10,1.453,
2010-01,1.481,
2010-04,1.480,
2010-07,1.461,
2010-10,1.448,
2011-01,1.430,
2011-04,1.429,
2011-07,1.401,
2011-10,1.357,
2012-01,1.327,
2012-04,1.280,
2012-07,1.258,
2012-10,1.213,
2013-01,1.176,
2013-04,1.137,
2013-07,1.131,
2013-10,1.103,
2014-01,1.118,
2014-04,1.094,
2014-07,1.072,
