"",BBK01.OEBL03P,BBK01.OEBL03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:16,
2002-01,0.152,
2002-04,0.136,
2002-07,0.134,
2002-10,0.130,
2003-01,0.113,
2003-04,0.096,
2003-07,0.082,
2003-10,0.076,
2004-01,0.073,
2004-04,0.072,
2004-07,0.068,
2004-10,0.069,
2005-01,0.081,
2005-04,0.082,
2005-07,0.077,
2005-10,0.079,
2006-01,0.079,
2006-04,0.081,
2006-07,0.094,
2006-10,0.118,
2007-01,0.128,
2007-04,0.144,
2007-07,0.186,
2007-10,0.238,
2008-01,0.272,
2008-04,0.302,
2008-07,0.376,
2008-10,0.438,
2009-01,0.375,
2009-04,0.330,
2009-07,0.257,
2009-10,0.213,
2010-01,0.168,
2010-04,0.143,
2010-07,0.099,
2010-10,0.090,
2011-01,0.100,
2011-04,0.106,
2011-07,0.102,
2011-10,0.161,
2012-01,0.229,
2012-04,0.227,
2012-07,0.218,
2012-10,0.167,
2013-01,0.137,
2013-04,0.136,
2013-07,0.117,
2013-10,0.099,
2014-01,0.089,
2014-04,0.066,
2014-07,0.055,
