"",BBFB1.Q.N.DE.HU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:57,
1991-01,58.039,
1991-04,60.474,
1991-07,58.799,
1991-10,68.543,
1992-01,82.167,
1992-04,86.631,
1992-07,79.611,
1992-10,75.166,
1993-01,92.314,
1993-04,103.998,
1993-07,100.101,
1993-10,109.842,
1994-01,79.750,
1994-04,85.102,
1994-07,85.517,
1994-10,82.479,
1995-01,156.154,
1995-04,154.899,
1995-07,160.194,
1995-10,157.813,
1996-01,119.953,
1996-04,118.585,
1996-07,194.186,
1996-10,113.128,
1997-01,89.317,
1997-04,82.856,
1997-07,167.919,
1997-10,182.926,
1998-01,136.169,
1998-04,136.933,
1998-07,145.938,
1998-10,259.921,
1999-01,275.816,
1999-04,302.148,
1999-07,326.102,
1999-10,317.799,
2000-01,300.163,
2000-04,344.453,
2000-07,323.103,
2000-10,330.588,
2001-01,155.847,
2001-04,24.451,
2001-07,37.043,
2001-10,161.058,
2002-01,216.361,
2002-04,245.376,
2002-07,230.540,
2002-10,240.721,
2003-01,184.048,
2003-04,215.860,
2003-07,231.690,
2003-10,223.980,
2004-01,405.046,
2004-04,396.852,
2004-07,436.872,
2004-10,439.972,
2005-01,457.369,
2005-04,471.501,
2005-07,484.310,
2005-10,498.335,
2006-01,414.912,
2006-04,462.757,
2006-07,462.170,
2006-10,438.823,
2007-01,623.417,
2007-04,654.695,
2007-07,548.282,
2007-10,462.495,
2008-01,407.168,
2008-04,341.940,
2008-07,321.375,
2008-10,357.457,
2009-01,372.496,
2009-04,366.926,
2009-07,364.852,
2009-10,379.233,
2010-01,380.826,
2010-04,391.808,
2010-07,370.408,
2010-10,371.083,
2011-01,201.994,
2011-04,200.914,
2011-07,185.919,
2011-10,177.558,
2012-01,167.965,
2012-04,159.258,
2012-07,146.773,
2012-10,144.448,
2013-01,1084.296,
2013-04,1088.105,
2013-07,1076.398,
2013-10,1084.781,
2014-01,1070.522,Provisional value
2014-04,1070.533,Provisional value
2014-07,1062.627,Provisional value
