"",BBK01.OEAD25U,BBK01.OEAD25U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:43,
2002-01,0.039,
2002-04,0.038,
2002-07,0.039,
2002-10,0.038,
2003-01,0.034,
2003-04,0.036,
2003-07,0.035,
2003-10,0.037,
2004-01,0.035,
2004-04,0.032,
2004-07,0.035,
2004-10,0.036,
2005-01,0.038,
2005-04,0.036,
2005-07,0.037,
2005-10,0.037,
2006-01,0.037,
2006-04,0.037,
2006-07,0.038,
2006-10,0.039,
2007-01,0.040,
2007-04,0.042,
2007-07,0.039,
2007-10,0.042,
2008-01,0.041,
2008-04,0.044,
2008-07,0.044,
2008-10,0.046,
2009-01,0.041,
2009-04,0.038,
2009-07,0.046,
2009-10,0.047,
2010-01,0.059,
2010-04,0.056,
2010-07,0.052,
2010-10,0.054,
2011-01,0.058,
2011-04,0.056,
2011-07,0.057,
2011-10,0.056,
2012-01,0.067,
2012-04,0.061,
2012-07,0.061,
2012-10,0.060,
2013-01,0.057,
2013-04,0.048,
2013-07,0.048,
2013-10,0.047,
2014-01,0.043,
2014-04,0.040,
2014-07,0.042,
