"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:03,
2009-09,544741,
2009-10,546541,
2009-11,554780,
2009-12,558332,
2010-01,570575,
2010-02,575768,
2010-03,585338,
2010-04,583913,
2010-05,589098,
2010-06,590336,
2010-07,594084,
2010-08,611480,
2010-09,609666,
2010-10,611516,
2010-11,603686,
2010-12,599292,
2011-01,592202,
2011-02,596611,
2011-03,594253,
2011-04,592135,
2011-05,598721,
2011-06,595268,
2011-07,602389,
2011-08,604300,
2011-09,602540,
2011-10,602378,
2011-11,591888,
2011-12,607744,
2012-01,614535,
2012-02,628732,
2012-03,634040,
2012-04,638751,
2012-05,649890,
2012-06,648151,
2012-07,665859,
2012-08,671173,
2012-09,673948,
2012-10,678122,
2012-11,687061,
2012-12,693135,
2013-01,687024,
2013-02,697965,
2013-03,706242,
2013-04,718287,
2013-05,714414,
2013-06,701006,
2013-07,709065,
2013-08,708114,
2013-09,712120,
2013-10,714133,
2013-11,719858,
2013-12,715174,
2014-01,729940,
2014-02,736075,
2014-03,748668,
2014-04,752802,
2014-05,767188,
2014-06,774772,
2014-07,782474,
2014-08,796105,
2014-09,801768,
2014-10,809156,
2014-11,821760,
