"",BBK01.OEHB18L,BBK01.OEHB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:50,
2002-01,1.474,
2002-04,1.479,
2002-07,1.524,
2002-10,1.546,
2003-01,1.472,
2003-04,1.503,
2003-07,1.488,
2003-10,1.421,
2004-01,1.334,
2004-04,1.380,
2004-07,1.248,
2004-10,1.148,
2005-01,1.091,
2005-04,1.117,
2005-07,1.107,
2005-10,1.061,
2006-01,0.980,
2006-04,1.004,
2006-07,0.967,
2006-10,0.928,
2007-01,0.897,
2007-04,0.901,
2007-07,0.904,
2007-10,0.878,
2008-01,0.848,
2008-04,0.867,
2008-07,0.888,
2008-10,0.873,
2009-01,0.875,
2009-04,0.844,
2009-07,0.823,
2009-10,0.785,
2010-01,0.763,
2010-04,0.743,
2010-07,0.732,
2010-10,0.683,
2011-01,0.672,
2011-04,0.666,
2011-07,0.662,
2011-10,0.622,
2012-01,0.605,
2012-04,0.599,
2012-07,0.602,
2012-10,0.581,
2013-01,0.555,
2013-04,0.545,
2013-07,0.577,
2013-10,0.552,
2014-01,0.560,
2014-04,0.532,
2014-07,0.528,
