"",BBK01.OELJ04G,BBK01.OELJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:37,
2002-01,2.301,
2002-04,2.296,
2002-07,2.335,
2002-10,2.193,
2003-01,2.101,
2003-04,2.049,
2003-07,2.012,
2003-10,2.221,
2004-01,2.052,
2004-04,2.173,
2004-07,2.202,
2004-10,2.299,
2005-01,1.923,
2005-04,2.115,
2005-07,2.014,
2005-10,2.389,
2006-01,2.142,
2006-04,2.293,
2006-07,2.273,
2006-10,2.628,
2007-01,2.437,
2007-04,2.799,
2007-07,2.958,
2007-10,3.084,
2008-01,3.127,
2008-04,3.148,
2008-07,3.419,
2008-10,3.389,
2009-01,2.638,
2009-04,2.356,
2009-07,2.156,
2009-10,2.237,
2010-01,1.953,
2010-04,1.945,
2010-07,2.074,
2010-10,2.273,
2011-01,2.258,
2011-04,2.407,
2011-07,2.760,
2011-10,2.812,
2012-01,2.444,
2012-04,2.344,
2012-07,2.388,
2012-10,2.444,
2013-01,2.282,
2013-04,2.264,
2013-07,2.369,
2013-10,2.598,
2014-01,2.422,
2014-04,2.400,
2014-07,2.470,
