"",BBK01.OEGB18I,BBK01.OEGB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:05,
2002-01,0.457,
2002-04,0.427,
2002-07,0.463,
2002-10,0.445,
2003-01,0.479,
2003-04,0.433,
2003-07,0.846,
2003-10,0.794,
2004-01,0.748,
2004-04,0.761,
2004-07,0.785,
2004-10,0.753,
2005-01,0.745,
2005-04,0.719,
2005-07,0.822,
2005-10,0.738,
2006-01,0.738,
2006-04,0.769,
2006-07,0.832,
2006-10,0.675,
2007-01,0.662,
2007-04,0.701,
2007-07,0.758,
2007-10,0.771,
2008-01,0.780,
2008-04,0.823,
2008-07,0.855,
2008-10,0.892,
2009-01,0.813,
2009-04,0.862,
2009-07,0.889,
2009-10,0.970,
2010-01,0.897,
2010-04,0.922,
2010-07,0.951,
2010-10,1.004,
2011-01,0.964,
2011-04,0.999,
2011-07,1.043,
2011-10,1.076,
2012-01,1.062,
2012-04,1.109,
2012-07,1.177,
2012-10,1.198,
2013-01,1.125,
2013-04,1.195,
2013-07,1.256,
2013-10,1.475,
2014-01,1.316,
2014-04,1.334,
2014-07,1.433,
