"",BBK01.OEAN03S,BBK01.OEAN03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:15,
2002-01,2.239,
2002-04,2.155,
2002-07,2.133,
2002-10,2.163,
2003-01,2.173,
2003-04,2.248,
2003-07,2.061,
2003-10,2.064,
2004-01,2.075,
2004-04,2.035,
2004-07,2.003,
2004-10,2.006,
2005-01,1.984,
2005-04,1.943,
2005-07,1.983,
2005-10,1.982,
2006-01,1.981,
2006-04,1.926,
2006-07,1.838,
2006-10,1.802,
2007-01,1.771,
2007-04,1.717,
2007-07,1.670,
2007-10,1.697,
2008-01,1.675,
2008-04,1.613,
2008-07,1.582,
2008-10,1.563,
2009-01,1.607,
2009-04,1.652,
2009-07,1.742,
2009-10,1.797,
2010-01,2.120,
2010-04,2.135,
2010-07,2.231,
2010-10,1.823,
2011-01,1.827,
2011-04,1.840,
2011-07,1.833,
2011-10,1.833,
2012-01,1.866,
2012-04,1.874,
2012-07,1.919,
2012-10,1.970,
2013-01,2.116,
2013-04,2.055,
2013-07,2.081,
2013-10,2.118,
2014-01,2.194,
2014-04,2.222,
2014-07,2.246,
