"",BBSF2.M.1.P.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Real estate funds / Properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:30,
2009-09,527,
2009-10,505,
2009-11,515,
2009-12,137,
2010-01,282,
2010-02,282,
2010-03,250,
2010-04,183,
2010-05,154,
2010-06,436,
2010-07,438,
2010-08,449,
2010-09,449,
2010-10,470,
2010-11,475,
2010-12,481,
2011-01,488,
2011-02,493,
2011-03,495,
2011-04,498,
2011-05,501,
2011-06,504,
2011-07,504,
2011-08,212,
2011-09,216,
2011-10,218,
2011-11,220,
2011-12,237,
2012-01,239,
2012-02,241,
2012-03,281,
2012-04,282,
2012-05,284,
2012-06,293,
2012-07,533,
2012-08,535,
2012-09,363,
2012-10,367,
2012-11,374,
2012-12,455,
2013-01,743,
2013-02,742,
2013-03,741,
2013-04,833,
2013-05,655,
2013-06,658,
2013-07,667,
2013-08,618,
2013-09,618,
2013-10,638,
2013-11,647,
2013-12,608,
2014-01,627,
2014-02,629,
2014-03,252,
2014-04,253,
2014-05,254,
2014-06,269,
2014-07,169,
2014-08,169,
2014-09,169,
2014-10,169,
2014-11,244,
