"",BBK01.OECB06K,BBK01.OECB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:19,
2002-01,3.622,
2002-04,3.393,
2002-07,3.160,
2002-10,2.994,
2003-01,2.711,
2003-04,2.661,
2003-07,2.843,
2003-10,2.787,
2004-01,2.717,
2004-04,2.300,
2004-07,2.577,
2004-10,5.331,
2005-01,3.996,
2005-04,4.104,
2005-07,3.688,
2005-10,5.123,
2006-01,3.287,
2006-04,3.323,
2006-07,3.525,
2006-10,3.797,
2007-01,3.449,
2007-04,3.332,
2007-07,3.944,
2007-10,3.752,
2008-01,4.254,
2008-04,4.647,
2008-07,4.184,
2008-10,3.684,
2009-01,3.424,
2009-04,3.589,
2009-07,3.413,
2009-10,3.718,
2010-01,4.028,
2010-04,3.832,
2010-07,3.642,
2010-10,3.436,
2011-01,3.494,
2011-04,3.900,
2011-07,3.850,
2011-10,3.734,
2012-01,3.979,
2012-04,4.314,
2012-07,4.591,
2012-10,4.637,
2013-01,4.853,
2013-04,4.793,
2013-07,5.036,
2013-10,5.057,
2014-01,5.233,
2014-04,5.358,
2014-07,5.097,
