"",BBSF2.M.1.S.I1250.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:53,
2009-09,235,
2009-10,5842,
2009-11,1982,
2009-12,2518,
2010-01,518,
2010-02,1440,
2010-03,1778,
2010-04,1241,
2010-05,1236,
2010-06,682,
2010-07,2048,
2010-08,473,
2010-09,780,
2010-10,846,
2010-11,453,
2010-12,2003,
2011-01,1808,
2011-02,670,
2011-03,901,
2011-04,459,
2011-05,165,
2011-06,527,
2011-07,161,
2011-08,528,
2011-09,371,
2011-10,442,
2011-11,4204,
2011-12,816,
2012-01,761,
2012-02,6558,
2012-03,1789,
2012-04,190,
2012-05,434,
2012-06,756,
2012-07,232,
2012-08,431,
2012-09,1448,
2012-10,998,
2012-11,4802,
2012-12,1444,
2013-01,610,
2013-02,1865,
2013-03,3080,
2013-04,539,
2013-05,1613,
2013-06,655,
2013-07,613,
2013-08,467,
2013-09,808,
2013-10,453,
2013-11,937,
2013-12,2037,
2014-01,1462,
2014-02,1384,
2014-03,1163,
2014-04,1770,
2014-05,1160,
2014-06,971,
2014-07,5171,
2014-08,1060,
2014-09,1040,
2014-10,938,
2014-11,936,
