"",BBK01.OECB16H,BBK01.OECB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:56,
2002-01,37.281,
2002-04,37.076,
2002-07,36.819,
2002-10,36.506,
2003-01,36.316,
2003-04,35.853,
2003-07,35.251,
2003-10,34.526,
2004-01,34.027,
2004-04,33.846,
2004-07,33.728,
2004-10,33.022,
2005-01,33.077,
2005-04,32.458,
2005-07,31.791,
2005-10,31.001,
2006-01,30.310,
2006-04,29.425,
2006-07,28.888,
2006-10,27.574,
2007-01,26.431,
2007-04,25.442,
2007-07,24.540,
2007-10,23.799,
2008-01,23.035,
2008-04,22.377,
2008-07,21.612,
2008-10,20.557,
2009-01,19.731,
2009-04,11.709,
2009-07,11.345,
2009-10,11.059,
2010-01,10.712,
2010-04,10.274,
2010-07,10.055,
2010-10,10.257,
2011-01,9.427,
2011-04,9.290,
2011-07,9.161,
2011-10,8.825,
2012-01,8.545,
2012-04,8.483,
2012-07,8.421,
2012-10,8.270,
2013-01,8.176,
2013-04,8.174,
2013-07,8.393,
2013-10,8.371,
2014-01,8.306,
2014-04,8.401,
2014-07,8.334,
