"",BBK01.OEXL08Q,BBK01.OEXL08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:36,
2002-01,1.413,
2002-04,1.393,
2002-07,1.401,
2002-10,1.488,
2003-01,1.596,
2003-04,1.618,
2003-07,1.578,
2003-10,1.547,
2004-01,1.523,
2004-04,1.499,
2004-07,1.458,
2004-10,0.641,
2005-01,0.646,
2005-04,0.646,
2005-07,0.642,
2005-10,0.667,
2006-01,0.681,
2006-04,0.659,
2006-07,0.654,
2006-10,0.660,
2007-01,0.665,
2007-04,0.673,
2007-07,0.681,
2007-10,0.717,
2008-01,0.743,
2008-04,0.721,
2008-07,0.725,
2008-10,0.755,
2009-01,0.787,
2009-04,0.841,
2009-07,0.881,
2009-10,0.920,
2010-01,0.937,
2010-04,0.935,
2010-07,0.918,
2010-10,0.923,
2011-01,0.937,
2011-04,0.829,
2011-07,0.782,
2011-10,0.802,
2012-01,0.804,
2012-04,0.807,
2012-07,0.829,
2012-10,0.878,
2013-01,0.877,
2013-04,0.871,
2013-07,0.885,
2013-10,0.901,
2014-01,0.911,
2014-04,0.904,
2014-07,0.893,
