"",BBK01.OEHB19V,BBK01.OEHB19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:46,
2002-01,0.208,
2002-04,0.208,
2002-07,0.207,
2002-10,0.202,
2003-01,0.191,
2003-04,0.190,
2003-07,0.194,
2003-10,0.191,
2004-01,0.189,
2004-04,0.186,
2004-07,0.186,
2004-10,0.184,
2005-01,0.181,
2005-04,0.188,
2005-07,0.190,
2005-10,0.187,
2006-01,0.185,
2006-04,0.192,
2006-07,0.190,
2006-10,0.188,
2007-01,0.183,
2007-04,0.184,
2007-07,0.185,
2007-10,0.179,
2008-01,0.172,
2008-04,0.174,
2008-07,0.173,
2008-10,0.167,
2009-01,0.167,
2009-04,0.172,
2009-07,0.173,
2009-10,0.169,
2010-01,0.160,
2010-04,0.162,
2010-07,0.165,
2010-10,0.172,
2011-01,0.170,
2011-04,0.171,
2011-07,0.196,
2011-10,0.191,
2012-01,0.192,
2012-04,0.197,
2012-07,0.346,
2012-10,0.347,
2013-01,0.354,
2013-04,0.369,
2013-07,0.384,
2013-10,0.386,
2014-01,0.387,
2014-04,0.399,
2014-07,0.409,
