"",BBK01.OEAG02O,BBK01.OEAG02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:27,
2002-01,-1.806,
2002-04,-1.613,
2002-07,-1.741,
2002-10,-1.231,
2003-01,1.371,
2003-04,-1.021,
2003-07,-1.370,
2003-10,-0.740,
2004-01,-1.234,
2004-04,-0.698,
2004-07,-0.337,
2004-10,-0.315,
2005-01,0.824,
2005-04,0.719,
2005-07,0.719,
2005-10,0.680,
2006-01,0.653,
2006-04,0.641,
2006-07,0.636,
2006-10,0.587,
2007-01,0.586,
2007-04,0.561,
2007-07,0.507,
2007-10,0.482,
2008-01,0.490,
2008-04,0.471,
2008-07,0.141,
2008-10,0.059,
2009-01,0.049,
2009-04,0.048,
2009-07,0.049,
2009-10,0.049,
2010-01,0.044,
2010-04,0.044,
2010-07,0.043,
2010-10,0.041,
2011-01,0.035,
2011-04,0.036,
2011-07,0.035,
2011-10,0.034,
2012-01,0.028,
2012-04,0.028,
2012-07,0.028,
2012-10,0.016,
2013-01,0.013,
2013-04,0.014,
2013-07,0.015,
2013-10,0.005,
2014-01,0.003,
2014-04,0.003,
2014-07,0.002,
