"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:12,
1991-01,10.722,
1991-04,10.837,
1991-07,10.834,
1991-10,10.740,
1992-01,-52.603,
1992-04,-52.360,
1992-07,-51.581,
1992-10,-54.036,
1993-01,-22.019,
1993-04,-22.019,
1993-07,-22.538,
1993-10,-23.552,
1994-01,35.577,
1994-04,35.577,
1994-07,33.883,
1994-10,35.577,
1995-01,60.416,
1995-04,60.416,
1995-07,59.394,
1995-10,60.416,
1996-01,-69.746,
1996-04,-69.638,
1996-07,-69.651,
1996-10,-69.638,
1997-01,-28.760,
1997-04,-28.760,
1997-07,-40.940,
1997-10,-28.760,
1998-01,-,Nothing exists
1998-04,-0.046,
1998-07,-2.046,
1998-10,-,Nothing exists
1999-01,16.758,
1999-04,14.601,
1999-07,-33.203,
1999-10,15.000,
2000-01,-39.009,
2000-04,-41.559,
2000-07,-39.006,
2000-10,-39.301,
2001-01,-17.456,
2001-04,-13.439,
2001-07,-30.664,
2001-10,-49.561,
2002-01,-50.228,
2002-04,33.371,
2002-07,22.033,
2002-10,37.336,
2003-01,15.115,
2003-04,28.186,
2003-07,50.701,
2003-10,64.006,
2004-01,57.170,
2004-04,57.168,
2004-07,75.944,
2004-10,29.359,
2005-01,22.333,
2005-04,3.987,
2005-07,79.980,
2005-10,78.581,
2006-01,83.495,
2006-04,-34.605,
2006-07,118.216,
2006-10,94.906,
2007-01,99.941,
2007-04,139.380,
2007-07,73.058,
2007-10,-118.823,
2008-01,-14.269,
2008-04,-29.159,
2008-07,-13.799,
2008-10,71.872,
2009-01,-103.576,
2009-04,-89.628,
2009-07,-15.792,
2009-10,-7.084,
2010-01,-273.261,
2010-04,172.543,
2010-07,130.874,
2010-10,117.381,
2011-01,-122.358,
2011-04,108.029,
2011-07,170.706,
2011-10,115.489,
2012-01,-361.445,
2012-04,73.830,
2012-07,165.344,
2012-10,146.649,
2013-01,-63.622,
2013-04,-48.622,
2013-07,95.371,
2013-10,104.917,
2014-01,-210.707,Provisional value
2014-04,19.328,Provisional value
2014-07,102.236,Provisional value
2014-10,101.357,Provisional value
