"",BBK01.OEAE33Q,BBK01.OEAE33Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:30,
2002-01,2.985,
2002-04,2.974,
2002-07,2.986,
2002-10,3.065,
2003-01,3.080,
2003-04,3.467,
2003-07,3.497,
2003-10,3.574,
2004-01,3.530,
2004-04,2.923,
2004-07,2.886,
2004-10,2.882,
2005-01,2.875,
2005-04,2.891,
2005-07,2.892,
2005-10,2.770,
2006-01,3.181,
2006-04,3.707,
2006-07,3.558,
2006-10,3.537,
2007-01,4.013,
2007-04,3.828,
2007-07,3.473,
2007-10,3.020,
2008-01,2.875,
2008-04,2.840,
2008-07,2.862,
2008-10,2.866,
2009-01,2.985,
2009-04,2.673,
2009-07,2.647,
2009-10,2.619,
2010-01,2.438,
2010-04,2.426,
2010-07,2.424,
2010-10,2.294,
2011-01,2.047,
2011-04,2.048,
2011-07,2.021,
2011-10,2.064,
2012-01,2.086,
2012-04,2.092,
2012-07,2.051,
2012-10,2.085,
2013-01,2.047,
2013-04,1.988,
2013-07,2.019,
2013-10,2.006,
2014-01,1.985,
2014-04,2.008,
2014-07,2.015,
