"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / EU member states not belonging to the Euro area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:36,
2009-09,5759,
2009-10,5864,
2009-11,5919,
2009-12,5846,
2010-01,6180,
2010-02,6214,
2010-03,6462,
2010-04,6541,
2010-05,6695,
2010-06,6845,
2010-07,6858,
2010-08,7234,
2010-09,7612,
2010-10,7777,
2010-11,7667,
2010-12,7719,
2011-01,7585,
2011-02,6934,
2011-03,7094,
2011-04,7257,
2011-05,7192,
2011-06,7285,
2011-07,7288,
2011-08,7522,
2011-09,7680,
2011-10,7788,
2011-11,7811,
2011-12,7964,
2012-01,8355,
2012-02,8680,
2012-03,8912,
2012-04,9295,
2012-05,9513,
2012-06,9937,
2012-07,10313,
2012-08,10233,
2012-09,10339,
2012-10,10530,
2012-11,10800,
2012-12,10926,
2013-01,10444,
2013-02,10616,
2013-03,10891,
2013-04,11184,
2013-05,11236,
2013-06,11093,
2013-07,11585,
2013-08,11519,
2013-09,11533,
2013-10,11515,
2013-11,11525,
2013-12,11586,
2014-01,11373,
2014-02,11519,
2014-03,11772,
2014-04,11753,
2014-05,11888,
2014-06,12090,
2014-07,12234,
2014-08,12407,
2014-09,12611,
2014-10,13096,
2014-11,13300,
