"",BBK01.OEYB18H,BBK01.OEYB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:35,
2002-01,0.427,
2002-04,0.350,
2002-07,0.363,
2002-10,0.415,
2003-01,0.407,
2003-04,0.407,
2003-07,0.588,
2003-10,0.633,
2004-01,0.685,
2004-04,0.700,
2004-07,0.730,
2004-10,0.770,
2005-01,0.785,
2005-04,0.773,
2005-07,0.769,
2005-10,0.775,
2006-01,0.807,
2006-04,0.775,
2006-07,0.829,
2006-10,0.825,
2007-01,0.780,
2007-04,0.720,
2007-07,0.698,
2007-10,0.758,
2008-01,0.488,
2008-04,0.441,
2008-07,0.367,
2008-10,0.383,
2009-01,0.347,
2009-04,0.343,
2009-07,0.340,
2009-10,0.363,
2010-01,0.376,
2010-04,0.400,
2010-07,0.389,
2010-10,0.552,
2011-01,0.695,
2011-04,0.528,
2011-07,0.598,
2011-10,0.544,
2012-01,0.542,
2012-04,0.536,
2012-07,0.584,
2012-10,0.830,
2013-01,0.585,
2013-04,0.587,
2013-07,0.606,
2013-10,0.587,
2014-01,0.530,
2014-04,0.623,
2014-07,0.631,
