"",BBK01.OEYJ04Q,BBK01.OEYJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:52,
2002-01,0.441,
2002-04,0.481,
2002-07,0.547,
2002-10,0.659,
2003-01,0.427,
2003-04,0.241,
2003-07,0.176,
2003-10,0.170,
2004-01,0.225,
2004-04,0.145,
2004-07,0.053,
2004-10,3.554,
2005-01,2.090,
2005-04,2.132,
2005-07,2.165,
2005-10,1.926,
2006-01,1.642,
2006-04,1.450,
2006-07,1.592,
2006-10,1.354,
2007-01,1.594,
2007-04,1.635,
2007-07,2.806,
2007-10,4.869,
2008-01,5.909,
2008-04,9.414,
2008-07,10.308,
2008-10,8.531,
2009-01,11.372,
2009-04,10.115,
2009-07,9.694,
2009-10,8.477,
2010-01,9.026,
2010-04,13.727,
2010-07,14.250,
2010-10,12.866,
2011-01,6.228,
2011-04,6.135,
2011-07,6.022,
2011-10,5.695,
2012-01,6.604,
2012-04,8.514,
2012-07,8.821,
2012-10,9.007,
2013-01,5.404,
2013-04,5.068,
2013-07,5.129,
2013-10,5.603,
2014-01,5.566,
2014-04,6.346,
2014-07,6.510,
