"",BBK01.CEFV0I,BBK01.CEFV0I_FLAGS
"",long-term savings deposits  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:42,
1999-01,116.3,
1999-04,109.9,
1999-07,108.6,
1999-10,107.5,
2000-01,109.4,
2000-04,112.8,
2000-07,118.8,
2000-10,120.2,
2001-01,121.2,
2001-04,118.5,
2001-07,116.5,
2001-10,110.7,
2002-01,106.0,
2002-04,103.8,
2002-07,104.3,
2002-10,100.5,
2003-01,96.7,
2003-04,92.1,
2003-07,88.5,
2003-10,87.8,
2004-01,86.8,
2004-04,85.0,
2004-07,85.2,
2004-10,86.2,
2005-01,87.4,
2005-04,86.5,
2005-07,83.8,
2005-10,82.9,
2006-01,85.1,
2006-04,88.2,
2006-07,92.6,
2006-10,97.7,
2007-01,103.7,
2007-04,105.1,
2007-07,107.6,
2007-10,108.2,
2008-01,106.2,
2008-04,103.6,
2008-07,102.0,
2008-10,109.4,
2009-01,111.0,
2009-04,115.1,
2009-07,119.0,
2009-10,118.0,
2010-01,116.4,
2010-04,112.0,
2010-07,106.4,
2010-10,104.1,
2011-01,104.4,
2011-04,103.8,
2011-07,103.8,
2011-10,99.7,
2012-01,98.1,
2012-04,96.3,
2012-07,92.8,
2012-10,87.8,
2013-01,83.8,
2013-04,79.6,
2013-07,77.0,
2013-10,75.9,
2014-01,75.8,
2014-04,74.5,
2014-07,76.8,
