"",BBK01.CEB4QC,BBK01.CEB4QC_FLAGS
"",Loans debtor: All sectors                    creditor: General government (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:14,
1991-01,17.5,
1991-04,19.6,
1991-07,21.9,
1991-10,23.3,
1992-01,25.7,
1992-04,27.8,
1992-07,30.0,
1992-10,32.1,
1993-01,34.2,
1993-04,35.7,
1993-07,38.3,
1993-10,40.2,
1994-01,43.4,
1994-04,46.0,
1994-07,47.7,
1994-10,49.7,
1995-01,64.8,
1995-04,68.1,
1995-07,69.4,
1995-10,68.0,
1996-01,70.8,
1996-04,74.5,
1996-07,76.0,
1996-10,71.7,
1997-01,74.8,
1997-04,77.8,
1997-07,78.0,
1997-10,73.5,
1998-01,76.6,
1998-04,79.5,
1998-07,80.5,
1998-10,75.8,
1999-01,75.3,
1999-04,75.1,
1999-07,75.1,
1999-10,77.0,
2000-01,75.9,
2000-04,77.7,
2000-07,78.3,
2000-10,79.2,
2001-01,79.2,
2001-04,79.8,
2001-07,79.2,
2001-10,79.7,
2002-01,79.8,
2002-04,79.6,
2002-07,78.6,
2002-10,78.8,
2003-01,79.3,
2003-04,78.8,
2003-07,78.4,
2003-10,77.1,
2004-01,78.0,
2004-04,77.0,
2004-07,72.2,
2004-10,70.0,
2005-01,71.3,
2005-04,68.8,
2005-07,67.5,
2005-10,62.4,
2006-01,61.6,
2006-04,61.4,
2006-07,59.6,
2006-10,58.6,
2007-01,58.5,
2007-04,58.7,
2007-07,58.6,
2007-10,59.4,
2008-01,57.2,
2008-04,61.0,
2008-07,58.6,
2008-10,69.3,
2009-01,67.6,
2009-04,71.9,
2009-07,75.8,
2009-10,72.9,
2010-01,73.1,
2010-04,99.4,
2010-07,91.6,
2010-10,127.0,
2011-01,116.6,
2011-04,131.2,
2011-07,124.6,
2011-10,119.3,
2012-01,124.9,
2012-04,156.1,
2012-07,159.4,
2012-10,173.3,
2013-01,172.3,
2013-04,184.7,
2013-07,168.9,
2013-10,181.4,
2014-01,173.2,
