"",BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:00,
1991-01,61.924,
1991-04,-152.046,
1991-07,-134.887,
1991-10,121.017,
1992-01,-89.543,
1992-04,-82.773,
1992-07,-276.043,
1992-10,211.929,
1993-01,-195.471,
1993-04,-79.416,
1993-07,-90.820,
1993-10,699.749,
1994-01,-587.782,
1994-04,-89.480,
1994-07,-51.996,
1994-10,-23.632,
1995-01,-2196.437,
1995-04,-649.961,
1995-07,-426.185,
1995-10,-456.575,
1996-01,323.627,
1996-04,-782.480,
1996-07,845.174,
1996-10,488.971,
1997-01,281.112,
1997-04,434.180,
1997-07,36.449,
1997-10,1404.346,
1998-01,-183.656,
1998-04,371.780,
1998-07,-25.808,
1998-10,899.436,
1999-01,-66.023,
1999-04,-208.378,
1999-07,354.730,
1999-10,2165.874,
2000-01,296.767,
2000-04,94.834,
2000-07,-354.526,
2000-10,-13.671,
2001-01,-646.678,
2001-04,553.159,
2001-07,597.027,
2001-10,-351.110,
2002-01,253.361,
2002-04,-383.455,
2002-07,-1393.840,
2002-10,1292.285,
2003-01,670.264,
2003-04,1548.596,
2003-07,-504.645,
2003-10,-222.491,
2004-01,-1086.037,
2004-04,-671.402,
2004-07,-1005.915,
2004-10,1303.935,
2005-01,506.200,
2005-04,214.575,
2005-07,495.283,
2005-10,866.042,
2006-01,372.217,
2006-04,352.954,
2006-07,199.156,
2006-10,688.253,
2007-01,21.748,
2007-04,234.963,
2007-07,167.683,
2007-10,-37.327,
2008-01,-260.291,
2008-04,333.148,
2008-07,500.563,
2008-10,821.170,
2009-01,4208.171,
2009-04,745.935,
2009-07,491.522,
2009-10,-7.489,
2010-01,958.667,
2010-04,795.496,
2010-07,558.236,
2010-10,809.598,
2011-01,237.420,
2011-04,498.365,
2011-07,772.223,
2011-10,962.186,
2012-01,1015.533,
2012-04,935.751,
2012-07,740.888,
2012-10,281.739,
2013-01,-255.602,
2013-04,731.530,
2013-07,2165.763,
2013-10,5430.592,
2014-01,825.154,Provisional value
2014-04,388.845,Provisional value
2014-07,-1748.493,Provisional value
2014-10,-5604.723,Provisional value
