"",BBK01.OEAE17J,BBK01.OEAE17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:40,
2002-01,0.069,
2002-04,0.166,
2002-07,0.172,
2002-10,0.066,
2003-01,0.072,
2003-04,0.075,
2003-07,0.076,
2003-10,0.072,
2004-01,0.071,
2004-04,0.063,
2004-07,0.073,
2004-10,0.107,
2005-01,0.131,
2005-04,0.118,
2005-07,0.113,
2005-10,0.106,
2006-01,0.120,
2006-04,0.115,
2006-07,0.121,
2006-10,0.145,
2007-01,0.093,
2007-04,0.094,
2007-07,0.102,
2007-10,0.107,
2008-01,0.089,
2008-04,0.052,
2008-07,0.078,
2008-10,0.047,
2009-01,0.049,
2009-04,0.031,
2009-07,0.048,
2009-10,0.045,
2010-01,0.022,
2010-04,0.021,
2010-07,0.019,
2010-10,0.017,
2011-01,0.020,
2011-04,0.020,
2011-07,0.017,
2011-10,0.016,
2012-01,0.017,
2012-04,0.023,
2012-07,0.021,
2012-10,0.024,
2013-01,0.020,
2013-04,0.024,
2013-07,0.013,
2013-10,0.014,
2014-01,0.012,
2014-04,0.016,
2014-07,0.012,
