"",BBK01.OEAH46U,BBK01.OEAH46U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:28,
2002-01,0.250,
2002-04,0.240,
2002-07,0.237,
2002-10,0.236,
2003-01,0.236,
2003-04,0.242,
2003-07,0.235,
2003-10,0.226,
2004-01,0.216,
2004-04,0.206,
2004-07,0.208,
2004-10,0.209,
2005-01,0.214,
2005-04,0.211,
2005-07,0.201,
2005-10,0.213,
2006-01,0.219,
2006-04,0.220,
2006-07,0.225,
2006-10,0.224,
2007-01,0.229,
2007-04,0.237,
2007-07,0.257,
2007-10,0.263,
2008-01,0.287,
2008-04,0.322,
2008-07,0.348,
2008-10,0.366,
2009-01,0.263,
2009-04,0.212,
2009-07,0.163,
2009-10,0.128,
2010-01,0.114,
2010-04,0.103,
2010-07,0.100,
2010-10,0.098,
2011-01,0.114,
2011-04,0.116,
2011-07,0.106,
2011-10,0.117,
2012-01,0.112,
2012-04,0.124,
2012-07,0.122,
2012-10,0.106,
2013-01,0.102,
2013-04,0.098,
2013-07,0.115,
2013-10,0.115,
2014-01,0.113,
2014-04,0.113,
2014-07,0.112,
