"",BBK01.OEAC19L,BBK01.OEAC19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:40,
2002-01,1.960,
2002-04,1.991,
2002-07,1.808,
2002-10,1.665,
2003-01,1.700,
2003-04,1.671,
2003-07,1.589,
2003-10,1.225,
2004-01,1.275,
2004-04,1.201,
2004-07,1.139,
2004-10,1.003,
2005-01,1.083,
2005-04,1.000,
2005-07,0.990,
2005-10,0.905,
2006-01,0.989,
2006-04,0.939,
2006-07,0.958,
2006-10,0.802,
2007-01,0.766,
2007-04,0.756,
2007-07,0.720,
2007-10,0.722,
2008-01,0.847,
2008-04,0.855,
2008-07,0.860,
2008-10,1.852,
2009-01,1.872,
2009-04,2.006,
2009-07,1.891,
2009-10,1.672,
2010-01,1.601,
2010-04,1.599,
2010-07,1.654,
2010-10,1.367,
2011-01,1.368,
2011-04,1.131,
2011-07,1.083,
2011-10,1.010,
2012-01,1.039,
2012-04,0.963,
2012-07,0.981,
2012-10,0.839,
2013-01,0.924,
2013-04,0.893,
2013-07,0.854,
2013-10,0.773,
2014-01,0.814,
2014-04,0.842,
2014-07,0.952,
