"",BBEX3.D.HRK.USD.CA.AB.000,BBEX3.D.HRK.USD.CA.AB.000_FLAGS
"",Exchange rates for the US dollar in Croatia / USD 1 = HRK ... (selling),
unit,HRK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:43:08,
1994-05-30,6.153700,
1994-05-31,.,No value available
1994-06-01,.,No value available
1994-06-02,.,No value available
1994-06-03,.,No value available
1994-06-04,.,No value available
1994-06-05,.,No value available
1994-06-06,.,No value available
1994-06-07,.,No value available
1994-06-08,.,No value available
1994-06-09,.,No value available
1994-06-10,.,No value available
1994-06-11,.,No value available
1994-06-12,.,No value available
1994-06-13,.,No value available
1994-06-14,.,No value available
1994-06-15,6.136200,
1994-06-16,.,No value available
1994-06-17,.,No value available
1994-06-18,.,No value available
1994-06-19,.,No value available
1994-06-20,.,No value available
1994-06-21,.,No value available
1994-06-22,.,No value available
1994-06-23,.,No value available
1994-06-24,.,No value available
1994-06-25,.,No value available
1994-06-26,.,No value available
1994-06-27,.,No value available
1994-06-28,.,No value available
1994-06-29,.,No value available
1994-06-30,5.884400,
1994-07-01,.,No value available
1994-07-02,.,No value available
1994-07-03,.,No value available
1994-07-04,.,No value available
1994-07-05,.,No value available
1994-07-06,.,No value available
1994-07-07,.,No value available
1994-07-08,.,No value available
1994-07-09,.,No value available
1994-07-10,.,No value available
1994-07-11,.,No value available
1994-07-12,.,No value available
1994-07-13,.,No value available
1994-07-14,.,No value available
1994-07-15,5.748400,
1994-07-16,.,No value available
1994-07-17,.,No value available
1994-07-18,.,No value available
1994-07-19,.,No value available
1994-07-20,.,No value available
1994-07-21,.,No value available
1994-07-22,.,No value available
1994-07-23,.,No value available
1994-07-24,.,No value available
1994-07-25,.,No value available
1994-07-26,.,No value available
1994-07-27,.,No value available
1994-07-28,.,No value available
1994-07-29,.,No value available
1994-07-30,5.921000,
1994-07-31,.,No value available
1994-08-01,.,No value available
1994-08-02,.,No value available
1994-08-03,.,No value available
1994-08-04,.,No value available
1994-08-05,.,No value available
1994-08-06,.,No value available
1994-08-07,.,No value available
1994-08-08,.,No value available
1994-08-09,.,No value available
1994-08-10,.,No value available
1994-08-11,.,No value available
1994-08-12,.,No value available
1994-08-13,5.762500,
1994-08-14,.,No value available
1994-08-15,.,No value available
1994-08-16,.,No value available
1994-08-17,.,No value available
1994-08-18,.,No value available
1994-08-19,.,No value available
1994-08-20,.,No value available
1994-08-21,.,No value available
1994-08-22,.,No value available
1994-08-23,.,No value available
1994-08-24,.,No value available
1994-08-25,.,No value available
1994-08-26,.,No value available
1994-08-27,.,No value available
1994-08-28,.,No value available
1994-08-29,.,No value available
1994-08-30,.,No value available
1994-08-31,5.858100,
1994-09-01,.,No value available
1994-09-02,.,No value available
1994-09-03,.,No value available
