"",BBFB1.Q.N.DE.GR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:28,
1991-01,149.011,
1991-04,154.571,
1991-07,170.253,
1991-10,164.394,
1992-01,179.865,
1992-04,192.108,
1992-07,169.535,
1992-10,220.858,
1993-01,133.394,
1993-04,176.121,
1993-07,163.595,
1993-10,165.454,
1994-01,240.740,
1994-04,171.285,
1994-07,167.518,
1994-10,165.681,
1995-01,168.804,
1995-04,163.759,
1995-07,166.208,
1995-10,181.547,
1996-01,178.977,
1996-04,172.972,
1996-07,177.444,
1996-10,175.004,
1997-01,164.821,
1997-04,173.245,
1997-07,170.641,
1997-10,172.600,
1998-01,168.608,
1998-04,171.725,
1998-07,173.150,
1998-10,178.507,
1999-01,169.389,
1999-04,169.441,
1999-07,168.866,
1999-10,171.679,
2000-01,185.213,
2000-04,186.517,
2000-07,185.167,
2000-10,193.204,
2001-01,165.029,
2001-04,155.507,
2001-07,155.799,
2001-10,160.056,
2002-01,154.293,
2002-04,156.299,
2002-07,153.808,
2002-10,155.973,
2003-01,156.296,
2003-04,160.345,
2003-07,164.771,
2003-10,165.870,
2004-01,155.309,
2004-04,159.865,
2004-07,161.515,
2004-10,168.453,
2005-01,136.591,
2005-04,143.281,
2005-07,142.849,
2005-10,139.887,
2006-01,141.429,
2006-04,138.403,
2006-07,140.180,
2006-10,143.388,
2007-01,141.612,
2007-04,143.125,
2007-07,143.688,
2007-10,142.129,
2008-01,139.682,
2008-04,141.048,
2008-07,141.551,
2008-10,144.531,
2009-01,145.489,
2009-04,148.320,
2009-07,153.220,
2009-10,153.351,
2010-01,154.369,
2010-04,163.474,
2010-07,160.211,
2010-10,157.348,
2011-01,150.972,
2011-04,156.922,
2011-07,153.208,
2011-10,155.996,
2012-01,157.324,
2012-04,160.305,
2012-07,159.157,
2012-10,160.760,
2013-01,160.105,
2013-04,165.133,
2013-07,125.323,
2013-10,157.884,
2014-01,158.612,Provisional value
2014-04,163.876,Provisional value
2014-07,167.046,Provisional value
