"",BBFB1.Q.N.DE.O1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:28,
1991-01,428.920,
1991-04,418.261,
1991-07,489.896,
1991-10,483.859,
1992-01,524.762,
1992-04,548.893,
1992-07,523.820,
1992-10,595.541,
1993-01,529.786,
1993-04,539.185,
1993-07,584.966,
1993-10,675.765,
1994-01,510.111,
1994-04,673.795,
1994-07,709.819,
1994-10,810.629,
1995-01,715.092,
1995-04,462.304,
1995-07,540.405,
1995-10,785.510,
1996-01,669.291,
1996-04,750.861,
1996-07,822.259,
1996-10,819.185,
1997-01,732.176,
1997-04,864.926,
1997-07,928.256,
1997-10,920.199,
1998-01,859.683,
1998-04,901.262,
1998-07,957.850,
1998-10,924.509,
1999-01,811.247,
1999-04,853.021,
1999-07,984.419,
1999-10,1111.500,
2000-01,921.205,
2000-04,894.552,
2000-07,998.268,
2000-10,977.009,
2001-01,1025.506,
2001-04,1097.756,
2001-07,1171.561,
2001-10,1621.160,
2002-01,995.657,
2002-04,1037.784,
2002-07,1326.850,
2002-10,1302.303,
2003-01,1139.484,
2003-04,1157.380,
2003-07,1368.158,
2003-10,1262.959,
2004-01,1221.457,
2004-04,1386.884,
2004-07,1514.339,
2004-10,1421.774,
2005-01,1413.907,
2005-04,1533.963,
2005-07,1595.471,
2005-10,1463.125,
2006-01,1379.009,
2006-04,1431.114,
2006-07,1691.826,
2006-10,1827.042,
2007-01,1614.670,
2007-04,1767.264,
2007-07,2007.998,
2007-10,1762.709,
2008-01,1879.245,
2008-04,1783.898,
2008-07,2028.695,
2008-10,2078.975,
2009-01,1310.783,
2009-04,1647.346,
2009-07,1837.147,
2009-10,1910.323,
2010-01,1838.843,
2010-04,2057.693,
2010-07,2461.954,
2010-10,2169.059,
2011-01,2118.024,
2011-04,2452.490,
2011-07,2514.044,
2011-10,2332.158,
2012-01,2699.295,
2012-04,2697.825,
2012-07,2895.330,
2012-10,2747.856,
2013-01,2516.027,
2013-04,2623.473,
2013-07,2727.606,
2013-10,2583.394,
2014-01,2406.170,Provisional value
2014-04,2489.961,Provisional value
2014-07,2778.635,Provisional value
