"",BBEX3.A.BZD.USD.CA.AA.A04,BBEX3.A.BZD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Belize / USD 1 = BZD ... (buying),
unit,BZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:25,
1977,1.9825,
1978,1.9825,
1979,1.9825,
1980,1.9825,
1981,1.9825,
1982,1.9825,
1983,1.9825,
1984,1.9825,
1985,1.9825,
1986,1.9825,
1987,1.9825,
1988,1.9825,
1989,1.9825,
1990,1.9825,
1991,1.9825,
1992,1.9825,
1993,1.9825,
1994,1.9825,
1995,1.9825,
1996,1.9825,
1997,1.9825,
1998,1.9825,
1999,1.9825,
2000,1.9825,
2001,1.9825,
2002,1.9825,
2003,1.9825,
2004,1.9825,
2005,1.9825,
2006,1.9825,
2007,1.9825,
2008,1.9825,
2009,1.9825,
2010,1.9825,
2011,1.9825,
2012,1.9825,
2013,1.9825,
2014,1.9825,
"","General: Since 14 May 1976, the Belize dollar has been pegged to the US dollar at the rate of USD 1 = BZD 2 (middle rate).",
"","Source: Since 2010: Central Bank of Belize, Belize City. Until 2009: Atlantic Bank Limited and The Monetary Authority of Belize, Belize City.",
