"",BBK01.OEBO01M,BBK01.OEBO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:01,
2002-01,5.177,
2002-04,5.026,
2002-07,4.650,
2002-10,4.597,
2003-01,4.783,
2003-04,4.825,
2003-07,4.720,
2003-10,4.796,
2004-01,4.793,
2004-04,4.665,
2004-07,4.576,
2004-10,4.807,
2005-01,8.440,
2005-04,8.400,
2005-07,8.373,
2005-10,8.217,
2006-01,8.250,
2006-04,8.178,
2006-07,8.090,
2006-10,7.973,
2007-01,7.997,
2007-04,8.272,
2007-07,8.218,
2007-10,8.092,
2008-01,8.326,
2008-04,8.270,
2008-07,8.062,
2008-10,7.916,
2009-01,8.507,
2009-04,8.614,
2009-07,8.723,
2009-10,9.515,
2010-01,9.376,
2010-04,9.380,
2010-07,9.437,
2010-10,9.485,
2011-01,9.887,
2011-04,10.259,
2011-07,10.070,
2011-10,10.051,
2012-01,10.062,
2012-04,10.388,
2012-07,10.303,
2012-10,10.153,
2013-01,10.060,
2013-04,9.725,
2013-07,9.499,
2013-10,9.281,
2014-01,9.252,
2014-04,9.148,
2014-07,8.974,
