"",BBEX3.M.CAD.EUR.CA.AC.A01,BBEX3.M.CAD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Canada / EUR 1 = CAD... (middle),
unit,CAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:38,
1999-01,1.7145,
1999-02,1.6572,
1999-03,1.6313,
1999-04,1.5401,
1999-05,1.5414,
1999-06,1.5162,
1999-07,1.6111,
1999-08,1.5827,
1999-09,1.5644,
1999-10,1.5482,
1999-11,1.4841,
1999-12,1.4525,
2000-01,1.4154,
2000-02,1.3971,
2000-03,1.3911,
2000-04,1.3465,
2000-05,1.3978,
2000-06,1.4124,
2000-07,1.3782,
2000-08,1.3072,
2000-09,1.3325,
2000-10,1.2958,
2000-11,1.3351,
2000-12,1.4092,
2001-01,1.3963,
2001-02,1.4110,
2001-03,1.3867,
2001-04,1.3626,
2001-05,1.3073,
2001-06,1.2862,
2001-07,1.3393,
2001-08,1.4070,
2001-09,1.4368,
2001-10,1.4268,
2001-11,1.4378,
2001-12,1.4185,
2002-01,1.3682,
2002-02,1.3896,
2002-03,1.3881,
2002-04,1.4115,
2002-05,1.4265,
2002-06,1.4972,
2002-07,1.5519,
2002-08,1.5292,
2002-09,1.5665,
2002-10,1.5420,
2002-11,1.5548,
2002-12,1.6564,
2003-01,1.6421,
2003-02,1.6029,
2003-03,1.6018,
2003-04,1.5918,
2003-05,1.6127,
2003-06,1.5590,
2003-07,1.5808,
2003-08,1.5218,
2003-09,1.5734,
2003-10,1.5320,
2003-11,1.5561,
2003-12,1.6280,
2004-01,1.6520,
2004-02,1.6672,
2004-03,1.6109,
2004-04,1.6419,
2004-05,1.6619,
2004-06,1.6327,
2004-07,1.5994,
2004-08,1.6043,
2004-09,1.5700,
2004-10,1.5563,
2004-11,1.5781,
2004-12,1.6292,
2005-01,1.6157,
2005-02,1.6327,
2005-03,1.5689,
2005-04,1.6238,
2005-05,1.5449,
2005-06,1.4827,
2005-07,1.4868,
2005-08,1.4663,
2005-09,1.4003,
2005-10,1.4154,
2005-11,1.3763,
2005-12,1.3805,
2006-01,1.3906,
2006-02,1.3570,
2006-03,1.4169,
2006-04,1.4143,
2006-05,1.4152,
2006-06,1.4246,
2006-07,1.4434,
2006-08,1.4156,
2006-09,1.4150,
2006-10,1.4340,
2006-11,1.5136,
2006-12,1.5377,
2007-01,1.5328,
2007-02,1.5479,
2007-03,1.5418,
2007-04,1.5196,
2007-05,1.4392,
2007-06,1.4376,
2007-07,1.4613,
2007-08,1.4409,
2007-09,1.4166,
2007-10,1.3742,
2007-11,1.4700,
2007-12,1.4428,
2008-01,1.4873,
2008-02,1.4880,
2008-03,1.6244,
2008-04,1.5714,
2008-05,1.5468,
2008-06,1.6041,
2008-07,1.5993,
2008-08,1.5586,
2008-09,1.4923,
2008-10,1.5426,
2008-11,1.5706,
2008-12,1.7046,
2009-01,1.5830,
2009-02,1.6088,
2009-03,1.6710,
2009-04,1.5812,
2009-05,1.5484,
2009-06,1.6297,
2009-07,1.5406,
2009-08,1.5741,
2009-09,1.5686,
2009-10,1.5896,
2009-11,1.5854,
2009-12,1.5000,
2010-01,1.4772,
2010-02,1.4377,
2010-03,1.3737,
2010-04,1.3456,
2010-05,1.2843,
2010-06,1.3035,
2010-07,1.3447,
2010-08,1.3515,
2010-09,1.4006,
2010-10,1.4155,
2010-11,1.3379,
2010-12,1.3319,
2011-01,1.3745,
2011-02,1.3432,
2011-03,1.3782,
2011-04,1.4058,
2011-05,1.3927,
2011-06,1.4005,
2011-07,1.3722,
2011-08,1.4093,
2011-09,1.3971,
2011-10,1.3856,
2011-11,1.3718,
2011-12,1.3193,
2012-01,1.3120,
2012-02,1.3179,
2012-03,1.3322,
2012-04,1.3075,
2012-05,1.2794,
2012-06,1.2910,
2012-07,1.2330,
2012-08,1.2405,
2012-09,1.2646,
2012-10,1.2953,
2012-11,1.2921,
2012-12,1.3118,
2013-01,1.3573,
2013-02,1.3452,
2013-03,1.3042,
2013-04,1.3265,
2013-05,1.3427,
2013-06,1.3676,
2013-07,1.3675,
2013-08,1.3926,
2013-09,1.3920,
2013-10,1.4177,
2013-11,1.4419,
2013-12,1.4655,
2014-01,1.5011,
2014-02,1.5290,
2014-03,1.5227,
2014-04,1.5196,
2014-05,1.4822,
2014-06,1.4615,
2014-07,1.4581,
2014-08,1.4278,
2014-09,1.4153,
2014-10,1.4127,
2014-11,1.4213,
2014-12,1.4038,
2015-01,1.4357,
"",General: Noon rates.,
"","Source: Since 2008 Bank of Canada, Ottawa 1999 - 2007 Bank of Montreal, Toronto",
"","Methodology: Until August 1999, partly calculated using D-Mark exchange rates in Canada in conjunction with the euro conversion rate of EUR 1 = DEM 1.95583.",
