"",BBFN1.M.DE.N.1.L.BE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:25,
1979-01,0.838,
1979-02,0.694,
1979-03,0.496,
1979-04,0.564,
1979-05,0.516,
1979-06,0.615,
1979-07,0.639,
1979-08,0.615,
1979-09,0.699,
1979-10,0.737,
1979-11,0.705,
1979-12,0.611,
1980-01,0.817,
1980-02,1.096,
1980-03,0.953,
1980-04,0.986,
1980-05,1.173,
1980-06,1.177,
1980-07,1.136,
1980-08,1.351,
1980-09,1.347,
1980-10,1.340,
1980-11,1.397,
1980-12,1.137,
1981-01,1.319,
1981-02,1.381,
1981-03,1.626,
1981-04,1.699,
1981-05,1.914,
1981-06,2.013,
1981-07,2.309,
1981-08,2.363,
1981-09,2.327,
1981-10,2.169,
1981-11,2.551,
1981-12,1.991,
1982-01,2.466,
1982-02,2.536,
1982-03,2.670,
1982-04,2.132,
1982-05,2.305,
1982-06,2.421,
1982-07,2.362,
1982-08,2.199,
1982-09,2.063,
1982-10,2.254,
1982-11,1.959,
1982-12,1.588,
1983-01,1.851,
1983-02,1.825,
1983-03,1.851,
1983-04,1.696,
1983-05,1.586,
1983-06,1.518,
1983-07,1.434,
1983-08,1.680,
1983-09,1.403,
1983-10,1.547,
1983-11,1.357,
1983-12,1.150,
1984-01,1.302,
1984-02,1.452,
1984-03,1.388,
1984-04,1.495,
1984-05,1.465,
1984-06,1.289,
1984-07,1.245,
1984-08,1.277,
1984-09,1.335,
1984-10,1.070,
1984-11,1.139,
1984-12,0.876,
1985-01,0.991,
1985-02,1.008,
1985-03,1.097,
1985-04,1.071,
1985-05,0.986,
1985-06,1.031,
1985-07,1.122,
1985-08,1.329,
1985-09,1.237,
1985-10,1.191,
1985-11,1.150,
1985-12,1.077,
1986-01,1.310,
1986-02,1.350,
1986-03,1.308,
1986-04,1.415,
1986-05,1.664,
1986-06,1.434,
1986-07,1.474,
1986-08,1.657,
1986-09,1.570,
1986-10,1.638,
1986-11,1.512,
1986-12,1.093,
1987-01,1.126,
1987-02,1.183,
1987-03,1.039,
1987-04,1.013,
1987-05,0.927,
1987-06,0.889,
1987-07,0.847,
1987-08,0.818,
1987-09,0.812,
1987-10,0.912,
1987-11,0.880,
1987-12,0.898,
1988-01,0.875,
1988-02,0.881,
1988-03,1.033,
1988-04,1.025,
1988-05,0.922,
1988-06,0.939,
1988-07,1.065,
1988-08,1.094,
1988-09,1.087,
1988-10,1.241,
1988-11,1.093,
1988-12,1.025,
1989-01,0.948,
1989-02,0.886,
1989-03,1.012,
1989-04,0.959,
1989-05,0.983,
1989-06,1.043,
1989-07,1.010,
1989-08,0.942,
1989-09,1.109,
1989-10,1.101,
1989-11,1.141,
1989-12,1.282,
1990-01,1.736,
1990-02,1.870,
1990-03,2.122,
1990-04,2.369,
1990-05,1.831,
1990-06,2.174,
1990-07,1.932,
1990-08,1.702,
1990-09,1.889,
1990-10,1.617,
1990-11,1.837,
1990-12,1.740,
1991-01,2.201,
1991-02,2.065,
1991-03,2.344,
1991-04,2.480,
1991-05,2.540,
1991-06,2.950,
1991-07,2.982,
1991-08,2.995,
1991-09,3.038,
1991-10,3.279,
1991-11,3.041,
1991-12,3.175,
1992-01,2.903,
1992-02,3.168,
1992-03,3.339,
1992-04,3.775,
1992-05,4.044,
1992-06,3.519,
1992-07,3.861,
1992-08,4.218,
1992-09,3.591,
1992-10,3.847,
1992-11,4.274,
1992-12,4.204,
1993-01,3.963,
1993-02,3.613,
1993-03,4.059,
1993-04,3.883,
1993-05,3.891,
1993-06,3.657,
1993-07,3.611,
1993-08,4.046,
1993-09,3.722,
1993-10,3.793,
1993-11,3.887,
1993-12,3.518,
1994-01,3.256,
1994-02,3.103,
1994-03,3.241,
1994-04,3.219,
1994-05,3.322,
1994-06,3.144,
1994-07,3.178,
1994-08,3.256,
1994-09,3.537,
1994-10,3.521,
1994-11,3.381,
1994-12,3.513,
1995-01,3.349,
1995-02,3.200,
1995-03,4.064,
1995-04,3.991,
1995-05,4.210,
1995-06,4.141,
1995-07,4.135,
1995-08,4.325,
1995-09,4.150,
1995-10,3.891,
1995-11,3.899,
1995-12,3.934,
1996-01,3.525,
1996-02,4.887,
1996-03,4.962,
1996-04,4.760,
1996-05,5.068,
1996-06,5.426,
1996-07,4.351,
1996-08,4.246,
1996-09,4.395,
1996-10,4.321,
1996-11,5.192,
1996-12,4.671,
1997-01,4.871,
1997-02,5.324,
1997-03,5.422,
1997-04,4.656,
1997-05,4.792,
1997-06,4.103,
1997-07,4.602,
1997-08,4.379,
1997-09,5.176,
1997-10,5.237,
1997-11,5.342,
1997-12,6.627,
1998-01,6.388,
1998-02,6.603,
1998-03,7.587,
1998-04,7.234,
1998-05,6.603,
1998-06,6.491,
1998-07,6.396,
1998-08,6.990,
1998-09,6.635,
1998-10,6.410,
1998-11,6.123,
1998-12,5.948,
1999-01,7.514,
1999-02,6.823,
1999-03,6.850,
1999-04,6.956,
1999-05,6.578,
1999-06,6.218,
1999-07,7.628,
1999-08,6.747,
1999-09,5.970,
1999-10,6.353,
1999-11,7.017,
1999-12,7.696,
2000-01,7.550,
2000-02,6.473,
2000-03,6.668,
2000-04,6.422,
