"",BBK01.OUE377,BBK01.OUE377_FLAGS
"",Loans to foreign general government for up to and including one year / Branches of foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:48,
1999-01,0.009,
1999-02,0.008,
1999-03,0.009,
1999-04,0.009,
1999-05,0.010,
1999-06,0.010,
1999-07,0.009,
1999-08,0.008,
1999-09,0.009,
1999-10,0.008,
1999-11,0.008,
1999-12,0.009,
2000-01,0.009,
2000-02,0.009,
2000-03,0.010,
2000-04,0.009,
2000-05,0.004,
2000-06,0.067,
2000-07,0.034,
2000-08,0.033,
2000-09,0.057,
2000-10,0.063,
2000-11,0.063,
2000-12,0.059,
2001-01,0.058,
2001-02,0.064,
2001-03,0.056,
2001-04,0.055,
2001-05,0.056,
2001-06,0.054,
2001-07,0.055,
2001-08,0.051,
2001-09,0.051,
2001-10,0.047,
2001-11,0.025,
2001-12,0.025,
2002-01,0.025,
2002-02,0.025,
2002-03,0.025,
2002-04,0.025,
2002-05,0.021,
2002-06,0.024,
2002-07,0.027,
2002-08,0.026,
2002-09,0.027,
2002-10,0.026,
2002-11,0.025,
2002-12,0.026,
2003-01,0.090,
2003-02,0.090,
2003-03,0.095,
2003-04,0.094,
2003-05,0.094,
2003-06,0.088,
2003-07,0.087,
2003-08,0.096,
2003-09,0.096,
2003-10,0.095,
2003-11,0.097,
2003-12,0.097,
2004-01,0.105,
2004-02,0.105,
2004-03,0.092,
2004-04,0.081,
2004-05,0.082,
2004-06,0.082,
2004-07,0.081,
2004-08,0.081,
2004-09,0.081,
2004-10,0.082,
2004-11,0.082,
2004-12,0.082,
2005-01,0.085,
2005-02,0.085,
2005-03,0.085,
2005-04,0.086,
2005-05,0.091,
2005-06,0.004,
2005-07,0.001,
2005-08,-,Nothing exists
2005-09,0.001,
2005-10,-,Nothing exists
2005-11,-,Nothing exists
2005-12,-,Nothing exists
2006-01,-,Nothing exists
2006-02,0.001,
2006-03,0.005,
2006-04,0.005,
2006-05,0.005,
2006-06,0.003,
2006-07,0.003,
2006-08,0.002,
2006-09,0.004,
2006-10,-,Nothing exists
2006-11,-,Nothing exists
2006-12,-,Nothing exists
2007-01,0.004,
2007-02,0.062,
2007-03,0.064,
2007-04,0.065,
2007-05,0.065,
2007-06,0.062,
2007-07,0.043,
2007-08,0.044,
2007-09,0.044,
2007-10,0.045,
2007-11,0.045,
2007-12,0.047,
2008-01,0.044,
2008-02,0.002,
2008-03,0.002,
2008-04,0.002,
2008-05,0.003,
2008-06,0.004,
2008-07,0.006,
2008-08,0.007,
2008-09,0.007,
2008-10,0.002,
2008-11,0.003,
2008-12,0.011,
2009-01,0.003,
2009-02,0.008,
2009-03,0.009,
2009-04,0.002,
2009-05,0.001,
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,0.007,
2009-10,0.007,
2009-11,0.002,
2009-12,0.015,
2010-01,0.009,
2010-02,0.003,
2010-03,0.003,
2010-04,0.004,
2010-05,0.004,
2010-06,0.005,
2010-07,0.005,
2010-08,0.005,
2010-09,0.412,
2010-10,0.009,
2010-11,-,Nothing exists
2010-12,0.021,
2011-01,0.014,
2011-02,0.012,
2011-03,0.009,
2011-04,0.014,
2011-05,0.029,
2011-06,0.037,
2011-07,0.035,
2011-08,0.004,
2011-09,0.005,
2011-10,0.003,
2011-11,0.002,
2011-12,0.015,
2012-01,0.016,
2012-02,0.016,
2012-03,0.020,
2012-04,0.016,
2012-05,0.012,
2012-06,0.011,
2012-07,0.010,
2012-08,0.012,
2012-09,0.015,
2012-10,0.012,
2012-11,0.009,
2012-12,0.018,
2013-01,0.003,
2013-02,0.010,
2013-03,0.011,
2013-04,0.002,
2013-05,0.002,
2013-06,0.007,
2013-07,0.002,
2013-08,0.005,
2013-09,0.006,
2013-10,0.004,
2013-11,0.003,
2013-12,0.023,
2014-01,0.010,
2014-02,0.006,
2014-03,0.003,
2014-04,0.003,
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,0.014,
2014-10,0.011,
2014-11,0.001,
2014-12,0.012,Provisional value
