"",BBK01.CEBL30,BBK01.CEBL30_FLAGS
"",Mutual funds shares debtor: Monetary financial institutions                    creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:19,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,0.0,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,0.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,0.0,
1994-01,0.0,
1994-04,0.0,
1994-07,0.7,
1994-10,16.0,
1995-01,13.2,
1995-04,14.2,
1995-07,14.7,
1995-10,20.0,
1996-01,20.3,
1996-04,19.4,
1996-07,18.1,
1996-10,17.4,
1997-01,16.3,
1997-04,15.4,
1997-07,16.1,
1997-10,15.1,
1998-01,17.0,
1998-04,17.2,
1998-07,18.0,
1998-10,18.3,
1999-01,20.4,
1999-04,22.6,
1999-07,24.4,
1999-10,22.0,
2000-01,24.8,
2000-04,22.8,
2000-07,21.4,
2000-10,20.3,
2001-01,23.7,
2001-04,25.3,
2001-07,29.2,
2001-10,33.8,
2002-01,36.5,
2002-04,36.3,
2002-07,38.8,
2002-10,38.7,
2003-01,42.2,
2003-04,40.7,
2003-07,40.1,
2003-10,38.4,
2004-01,37.4,
2004-04,37.5,
2004-07,40.1,
2004-10,32.9,
2005-01,35.3,
2005-04,35.4,
2005-07,36.8,
2005-10,32.8,
2006-01,32.6,
2006-04,34.1,
2006-07,32.6,
2006-10,33.1,
2007-01,33.8,
2007-04,36.5,
2007-07,31.4,
2007-10,29.7,
2008-01,28.2,
2008-04,24.7,
2008-07,23.3,
2008-10,17.0,
2009-01,15.4,
2009-04,14.2,
2009-07,13.0,
2009-10,12.0,
2010-01,12.1,
2010-04,11.5,
2010-07,10.6,
2010-10,10.3,
2011-01,10.5,
2011-04,9.8,
2011-07,7.6,
2011-10,6.6,
2012-01,5.9,
2012-04,6.1,
2012-07,5.4,
2012-10,7.7,
2013-01,7.2,
2013-04,6.1,
2013-07,5.7,
2013-10,4.5,
2014-01,4.4,
