"",BBK01.OEHB08L,BBK01.OEHB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:46,
2002-01,40.702,
2002-04,40.751,
2002-07,41.177,
2002-10,40.741,
2003-01,41.132,
2003-04,41.227,
2003-07,41.386,
2003-10,41.673,
2004-01,41.258,
2004-04,41.068,
2004-07,41.140,
2004-10,41.063,
2005-01,40.425,
2005-04,40.393,
2005-07,40.460,
2005-10,40.370,
2006-01,40.291,
2006-04,40.310,
2006-07,40.423,
2006-10,40.423,
2007-01,40.014,
2007-04,39.943,
2007-07,40.080,
2007-10,40.065,
2008-01,39.961,
2008-04,40.260,
2008-07,40.627,
2008-10,40.678,
2009-01,40.553,
2009-04,40.504,
2009-07,40.810,
2009-10,41.099,
2010-01,40.949,
2010-04,41.228,
2010-07,41.463,
2010-10,41.769,
2011-01,41.820,
2011-04,41.980,
2011-07,42.290,
2011-10,42.667,
2012-01,42.794,
2012-04,43.201,
2012-07,43.499,
2012-10,43.977,
2013-01,44.102,
2013-04,44.520,
2013-07,45.039,
2013-10,45.279,
2014-01,45.456,
2014-04,45.817,
2014-07,46.367,
