"",BBK01.OEXL01H,BBK01.OEXL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:46,
2002-01,20.265,
2002-04,19.608,
2002-07,20.195,
2002-10,21.134,
2003-01,21.260,
2003-04,21.289,
2003-07,19.874,
2003-10,20.150,
2004-01,20.591,
2004-04,14.478,
2004-07,14.641,
2004-10,14.605,
2005-01,15.497,
2005-04,16.443,
2005-07,17.308,
2005-10,17.979,
2006-01,18.623,
2006-04,19.569,
2006-07,19.067,
2006-10,19.806,
2007-01,21.261,
2007-04,22.338,
2007-07,23.318,
2007-10,23.534,
2008-01,24.761,
2008-04,24.554,
2008-07,24.821,
2008-10,27.157,
2009-01,28.916,
2009-04,28.411,
2009-07,28.296,
2009-10,27.258,
2010-01,26.688,
2010-04,27.195,
2010-07,26.938,
2010-10,27.645,
2011-01,28.638,
2011-04,29.373,
2011-07,30.167,
2011-10,30.912,
2012-01,31.978,
2012-04,32.633,
2012-07,32.949,
2012-10,32.917,
2013-01,33.688,
2013-04,34.300,
2013-07,34.339,
2013-10,34.821,
2014-01,34.895,
2014-04,35.386,
2014-07,36.283,
