"",BBK01.OELB18H,BBK01.OELB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:26,
2002-01,2.294,
2002-04,2.327,
2002-07,2.383,
2002-10,2.280,
2003-01,2.223,
2003-04,2.267,
2003-07,2.193,
2003-10,2.035,
2004-01,1.950,
2004-04,1.998,
2004-07,2.090,
2004-10,1.833,
2005-01,1.829,
2005-04,1.798,
2005-07,1.812,
2005-10,1.767,
2006-01,1.805,
2006-04,1.921,
2006-07,1.897,
2006-10,1.695,
2007-01,1.637,
2007-04,1.634,
2007-07,1.659,
2007-10,1.661,
2008-01,1.649,
2008-04,1.650,
2008-07,1.689,
2008-10,1.635,
2009-01,1.589,
2009-04,1.609,
2009-07,1.606,
2009-10,1.518,
2010-01,1.520,
2010-04,1.564,
2010-07,1.540,
2010-10,1.452,
2011-01,1.445,
2011-04,1.472,
2011-07,1.468,
2011-10,1.421,
2012-01,1.409,
2012-04,1.405,
2012-07,1.434,
2012-10,1.433,
2013-01,1.428,
2013-04,1.433,
2013-07,1.487,
2013-10,1.543,
2014-01,1.456,
2014-04,1.493,
2014-07,1.505,
