"",BBK01.OEAD20V,BBK01.OEAD20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:02,
2002-01,0.085,
2002-04,0.085,
2002-07,0.094,
2002-10,0.066,
2003-01,0.069,
2003-04,0.068,
2003-07,0.068,
2003-10,0.063,
2004-01,0.062,
2004-04,0.059,
2004-07,0.059,
2004-10,0.059,
2005-01,0.059,
2005-04,0.052,
2005-07,0.060,
2005-10,0.060,
2006-01,0.053,
2006-04,0.057,
2006-07,0.058,
2006-10,0.054,
2007-01,0.055,
2007-04,0.055,
2007-07,0.053,
2007-10,0.059,
2008-01,0.057,
2008-04,0.053,
2008-07,0.051,
2008-10,0.056,
2009-01,0.052,
2009-04,0.049,
2009-07,0.053,
2009-10,0.047,
2010-01,0.046,
2010-04,0.046,
2010-07,0.053,
2010-10,0.052,
2011-01,0.054,
2011-04,0.065,
2011-07,0.076,
2011-10,0.064,
2012-01,0.059,
2012-04,0.059,
2012-07,0.069,
2012-10,0.084,
2013-01,0.060,
2013-04,0.063,
2013-07,0.068,
2013-10,0.065,
2014-01,0.070,
2014-04,0.064,
2014-07,0.071,
