"",BBK01.OEAM03O,BBK01.OEAM03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:25,
2002-01,0.829,
2002-04,1.072,
2002-07,0.867,
2002-10,1.029,
2003-01,0.976,
2003-04,1.170,
2003-07,1.448,
2003-10,1.448,
2004-01,0.870,
2004-04,0.980,
2004-07,1.232,
2004-10,1.184,
2005-01,1.029,
2005-04,0.976,
2005-07,0.789,
2005-10,0.629,
2006-01,0.707,
2006-04,1.037,
2006-07,1.820,
2006-10,2.107,
2007-01,1.765,
2007-04,1.636,
2007-07,1.500,
2007-10,1.461,
2008-01,1.574,
2008-04,1.561,
2008-07,1.410,
2008-10,1.319,
2009-01,0.993,
2009-04,1.033,
2009-07,0.933,
2009-10,0.761,
2010-01,0.585,
2010-04,0.601,
2010-07,0.649,
2010-10,0.927,
2011-01,0.641,
2011-04,0.751,
2011-07,0.794,
2011-10,1.337,
2012-01,0.829,
2012-04,1.025,
2012-07,1.293,
2012-10,1.954,
2013-01,1.443,
2013-04,1.138,
2013-07,1.095,
2013-10,1.530,
2014-01,1.151,
2014-04,1.326,
2014-07,1.462,
