"",BBK01.OECK04I,BBK01.OECK04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:57,
2002-01,0.540,
2002-04,0.527,
2002-07,0.483,
2002-10,0.466,
2003-01,0.435,
2003-04,0.390,
2003-07,0.353,
2003-10,0.319,
2004-01,0.325,
2004-04,0.324,
2004-07,0.310,
2004-10,0.371,
2005-01,0.344,
2005-04,0.348,
2005-07,0.347,
2005-10,0.360,
2006-01,0.424,
2006-04,0.442,
2006-07,0.430,
2006-10,0.474,
2007-01,0.475,
2007-04,0.475,
2007-07,0.597,
2007-10,0.701,
2008-01,0.699,
2008-04,0.724,
2008-07,0.761,
2008-10,0.662,
2009-01,0.498,
2009-04,0.428,
2009-07,0.348,
2009-10,0.274,
2010-01,0.219,
2010-04,0.199,
2010-07,0.178,
2010-10,0.279,
2011-01,0.268,
2011-04,0.270,
2011-07,0.262,
2011-10,0.170,
2012-01,0.242,
2012-04,0.229,
2012-07,0.194,
2012-10,0.143,
2013-01,0.162,
2013-04,0.158,
2013-07,0.160,
2013-10,0.158,
2014-01,0.168,
2014-04,0.177,
2014-07,0.176,
