"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:49,
1991-01,314.281,
1991-04,284.279,
1991-07,-333.517,
1991-10,291.892,
1992-01,224.818,
1992-04,-149.846,
1992-07,-167.239,
1992-10,-46.445,
1993-01,2251.282,
1993-04,865.128,
1993-07,414.836,
1993-10,1138.933,
1994-01,1636.966,
1994-04,-13.764,
1994-07,1013.951,
1994-10,316.874,
1995-01,-201.234,
1995-04,301.396,
1995-07,847.444,
1995-10,337.203,
1996-01,-419.839,
1996-04,785.999,
1996-07,702.473,
1996-10,1069.894,
1997-01,2250.050,
1997-04,5178.710,
1997-07,7057.777,
1997-10,2384.087,
1998-01,2126.644,
1998-04,5768.234,
1998-07,5230.827,
1998-10,6386.659,
1999-01,8972.240,
1999-04,8032.891,
1999-07,2682.555,
1999-10,2686.914,
2000-01,7864.223,
2000-04,-1917.501,
2000-07,2516.094,
2000-10,-408.640,
2001-01,15405.306,
2001-04,-1043.860,
2001-07,4128.921,
2001-10,1725.549,
2002-01,1728.300,
2002-04,-659.036,
2002-07,423.610,
2002-10,2379.349,
2003-01,-667.646,
2003-04,-5168.848,
2003-07,448.344,
2003-10,-2475.322,
2004-01,8146.706,
2004-04,9180.598,
2004-07,-1317.962,
2004-10,1644.072,
2005-01,6977.524,
2005-04,5402.945,
2005-07,-2624.261,
2005-10,12489.233,
2006-01,5363.451,
2006-04,727.405,
2006-07,-6339.031,
2006-10,-4647.069,
2007-01,1312.669,
2007-04,1451.340,
2007-07,-2990.110,
2007-10,-516.522,
2008-01,-1080.233,
2008-04,-1574.507,
2008-07,-6036.956,
2008-10,-4535.757,
2009-01,-2963.921,
2009-04,-365.950,
2009-07,1544.861,
2009-10,1932.201,
2010-01,-630.363,
2010-04,-4533.243,
2010-07,4299.669,
2010-10,26948.758,
2011-01,336.485,
2011-04,-1961.365,
2011-07,3915.394,
2011-10,4249.432,
2012-01,-1444.215,
2012-04,-221.061,
2012-07,-15.804,
2012-10,5417.618,
2013-01,3347.168,
2013-04,2289.917,
2013-07,-289.761,
2013-10,-3509.406,
2014-01,1967.431,Provisional value
2014-04,-1246.464,Provisional value
2014-07,810.579,Provisional value
2014-10,634.605,Provisional value
