"",BBK01.CEH220,BBK01.CEH220_FLAGS
"",Currency and deposits debtor: Domestic financial corporations                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:14,
1991-01,-32.8,
1991-04,34.3,
1991-07,-3.0,
1991-10,94.0,
1992-01,-10.7,
1992-04,32.5,
1992-07,40.7,
1992-10,72.3,
1993-01,8.5,
1993-04,56.6,
1993-07,28.0,
1993-10,139.8,
1994-01,-32.9,
1994-04,33.2,
1994-07,2.5,
1994-10,105.7,
1995-01,-16.3,
1995-04,40.5,
1995-07,53.2,
1995-10,138.0,
1996-01,21.7,
1996-04,28.4,
1996-07,39.0,
1996-10,158.2,
1997-01,26.5,
1997-04,77.9,
1997-07,0.7,
1997-10,147.0,
1998-01,34.1,
1998-04,83.2,
1998-07,30.1,
1998-10,183.0,
1999-01,16.2,
1999-04,51.1,
1999-07,74.8,
1999-10,84.6,
2000-01,79.7,
2000-04,-12.6,
2000-07,2.3,
2000-10,154.4,
2001-01,101.5,
2001-04,-12.0,
2001-07,29.2,
2001-10,-17.3,
2002-01,-72.0,
2002-04,50.1,
2002-07,46.9,
2002-10,117.6,
2003-01,34.8,
2003-04,58.7,
2003-07,-53.2,
2003-10,57.1,
2004-01,25.5,
2004-04,35.1,
2004-07,42.4,
2004-10,64.7,
2005-01,69.4,
2005-04,56.1,
2005-07,21.8,
2005-10,12.9,
2006-01,73.2,
2006-04,79.0,
2006-07,37.5,
2006-10,78.4,
2007-01,81.2,
2007-04,65.5,
2007-07,135.8,
2007-10,201.5,
2008-01,23.6,
2008-04,25.9,
2008-07,233.0,
2008-10,102.0,
2009-01,-191.8,
2009-04,129.6,
2009-07,-221.8,
2009-10,-53.1,
2010-01,50.3,
2010-04,235.7,
2010-07,-233.3,
2010-10,35.0,
2011-01,-107.7,
2011-04,-18.4,
2011-07,273.9,
2011-10,7.6,
2012-01,440.0,
2012-04,97.5,
2012-07,-84.5,
2012-10,-243.2,
2013-01,-176.3,
2013-04,-43.3,
2013-07,-101.1,
2013-10,-85.1,
2014-01,-21.7,
