"",BBK01.OECJ02T,BBK01.OECJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:21,
2002-01,0.431,
2002-04,0.464,
2002-07,0.454,
2002-10,0.519,
2003-01,0.460,
2003-04,0.451,
2003-07,0.502,
2003-10,0.519,
2004-01,0.462,
2004-04,0.500,
2004-07,0.488,
2004-10,0.531,
2005-01,0.486,
2005-04,0.544,
2005-07,0.537,
2005-10,0.555,
2006-01,0.529,
2006-04,0.519,
2006-07,0.540,
2006-10,0.689,
2007-01,0.571,
2007-04,0.600,
2007-07,0.566,
2007-10,0.630,
2008-01,0.607,
2008-04,0.665,
2008-07,0.623,
2008-10,0.850,
2009-01,0.691,
2009-04,0.718,
2009-07,0.709,
2009-10,0.886,
2010-01,0.788,
2010-04,0.778,
2010-07,0.766,
2010-10,1.130,
2011-01,0.819,
2011-04,0.868,
2011-07,0.849,
2011-10,0.908,
2012-01,0.968,
2012-04,0.746,
2012-07,0.811,
2012-10,1.039,
2013-01,0.720,
2013-04,0.762,
2013-07,0.874,
2013-10,0.928,
2014-01,0.928,
2014-04,0.791,
2014-07,0.889,
