"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:06,
1991-01,6.660,
1991-04,6.660,
1991-07,6.660,
1991-10,6.660,
1992-01,-1.066,
1992-04,0.065,
1992-07,0.069,
1992-10,0.069,
1993-01,0.874,
1993-04,-0.602,
1993-07,0.874,
1993-10,0.874,
1994-01,17.839,
1994-04,17.594,
1994-07,17.839,
1994-10,17.839,
1995-01,-13.191,
1995-04,-13.191,
1995-07,-13.191,
1995-10,-13.191,
1996-01,-31.016,
1996-04,-31.016,
1996-07,-31.016,
1996-10,-31.016,
1997-01,3.068,
1997-04,3.068,
1997-07,3.068,
1997-10,3.068,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,12.000,
1999-04,14.000,
1999-07,12.000,
1999-10,12.000,
2000-01,12.000,
2000-04,12.000,
2000-07,9.000,
2000-10,8.748,
2001-01,-5.515,
2001-04,-10.889,
2001-07,-17.858,
2001-10,-132.515,
2002-01,8.422,
2002-04,8.841,
2002-07,10.626,
2002-10,11.707,
2003-01,12.324,
2003-04,12.362,
2003-07,10.336,
2003-10,19.003,
2004-01,27.834,
2004-04,0.423,
2004-07,29.479,
2004-10,22.716,
2005-01,17.334,
2005-04,28.668,
2005-07,-14.002,
2005-10,49.998,
2006-01,48.727,
2006-04,26.811,
2006-07,50.858,
2006-10,48.978,
2007-01,32.605,
2007-04,42.562,
2007-07,43.493,
2007-10,21.365,
2008-01,-165.365,
2008-04,-87.921,
2008-07,-73.610,
2008-10,-131.527,
2009-01,19.334,
2009-04,19.098,
2009-07,23.636,
2009-10,13.937,
2010-01,22.080,
2010-04,21.812,
2010-07,7.865,
2010-10,14.244,
2011-01,49.358,
2011-04,33.713,
2011-07,53.171,
2011-10,45.747,
2012-01,53.439,
2012-04,45.210,
2012-07,27.059,
2012-10,40.974,
2013-01,61.809,
2013-04,-28.191,
2013-07,60.213,
2013-10,57.954,
2014-01,62.241,Provisional value
2014-04,0.210,Provisional value
2014-07,-7.766,Provisional value
2014-10,56.226,Provisional value
