"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:29,
1991-01,1176.257,
1991-02,472.523,
1991-03,1869.834,
1991-04,1027.325,
1991-05,1117.217,
1991-06,1872.615,
1991-07,2307.741,
1991-08,864.452,
1991-09,1267.853,
1991-10,938.929,
1991-11,1969.060,
1991-12,3485.801,
1992-01,795.080,
1992-02,741.141,
1992-03,959.207,
1992-04,727.817,
1992-05,953.970,
1992-06,936.268,
1992-07,1089.778,
1992-08,953.174,
1992-09,1548.719,
1992-10,913.595,
1992-11,761.571,
1992-12,2602.624,
1993-01,996.218,
1993-02,610.210,
1993-03,1250.551,
1993-04,635.159,
1993-05,449.030,
1993-06,956.098,
1993-07,809.072,
1993-08,1034.032,
1993-09,974.820,
1993-10,947.657,
1993-11,638.746,
1993-12,2582.317,
1994-01,902.934,
1994-02,422.529,
1994-03,2154.114,
1994-04,1093.240,
1994-05,939.861,
1994-06,1537.702,
1994-07,445.568,
1994-08,759.231,
1994-09,498.535,
1994-10,1156.345,
1994-11,643.622,
1994-12,3135.343,
1995-01,4008.068,
1995-02,1102.042,
1995-03,2197.796,
1995-04,3240.769,
1995-05,1175.797,
1995-06,3094.184,
1995-07,412.008,
1995-08,1868.619,
1995-09,889.959,
1995-10,1137.675,
1995-11,1936.871,
1995-12,5116.396,
1996-01,3473.869,
1996-02,3598.399,
1996-03,3734.111,
1996-04,3692.574,
1996-05,4370.869,
1996-06,676.063,
1996-07,865.227,
1996-08,420.390,
1996-09,5996.918,
1996-10,2163.973,
1996-11,5610.883,
1996-12,8442.155,
1997-01,10698.086,
1997-02,3882.962,
1997-03,4924.121,
1997-04,4866.409,
1997-05,339.657,
1997-06,2022.293,
1997-07,705.376,
1997-08,-4821.079,
1997-09,8310.297,
1997-10,-28.033,
1997-11,1504.953,
1997-12,6280.325,
1998-01,4404.579,
1998-02,9575.486,
1998-03,13746.205,
1998-04,9309.700,
1998-05,7198.474,
1998-06,-2254.343,
1998-07,-1922.995,
1998-08,-4426.688,
1998-09,9582.813,
1998-10,-1493.025,
1998-11,35819.573,
1998-12,3519.446,
1999-01,1767.568,
1999-02,10529.297,
1999-03,15942.127,
1999-04,11658.548,
1999-05,10746.267,
1999-06,10500.601,
1999-07,-10588.925,
1999-08,6381.713,
1999-09,5303.995,
1999-10,16839.395,
1999-11,8560.465,
1999-12,28134.446,
2000-01,7219.797,
2000-02,9491.239,
2000-03,19426.023,
2000-04,12117.077,
2000-05,24399.953,
2000-06,7277.585,
2000-07,-3495.611,
2000-08,9873.290,
2000-09,6871.627,
2000-10,13216.838,
2000-11,5933.213,
2000-12,-33231.867,
2001-01,7835.294,
2001-02,7702.575,
2001-03,19482.760,
2001-04,-882.405,
2001-05,39714.607,
2001-06,-2791.064,
2001-07,-7240.295,
2001-08,-1189.004,
2001-09,9097.476,
2001-10,5587.806,
2001-11,-9984.055,
2001-12,7415.759,
2002-01,-10438.497,
2002-02,6428.957,
2002-03,3838.114,
2002-04,-431.167,
2002-05,-5190.672,
2002-06,12455.389,
2002-07,4215.677,
2002-08,-598.917,
2002-09,13671.490,
2002-10,3245.447,
2002-11,-3347.723,
2002-12,-7430.158,
2003-01,11689.714,
2003-02,4267.487,
2003-03,11877.848,
2003-04,882.298,
2003-05,1064.468,
2003-06,-1991.475,
2003-07,2719.451,
2003-08,-2185.588,
2003-09,3297.062,
2003-10,2074.075,
2003-11,1928.228,
2003-12,-4724.044,
2004-01,8655.801,
2004-02,-21689.374,
2004-03,10655.768,
2004-04,-2122.328,
2004-05,2811.012,
2004-06,9008.280,
2004-07,1583.995,
2004-08,542.759,
2004-09,7129.390,
2004-10,1444.185,
2004-11,2651.112,
2004-12,-4223.504,
2005-01,4280.317,
2005-02,6117.843,
2005-03,7989.576,
2005-04,3414.670,
2005-05,3210.118,
2005-06,10425.942,
2005-07,646.450,
2005-08,506.961,
2005-09,7146.227,
2005-10,9393.561,
2005-11,10014.593,
2005-12,121.487,
2006-01,6887.811,
2006-02,12533.086,
2006-03,11774.199,
2006-04,5747.370,
2006-05,3980.981,
2006-06,6759.495,
2006-07,1203.599,
2006-08,-5047.396,
2006-09,22831.957,
2006-10,12291.653,
2006-11,5873.541,
2006-12,6545.611,
2007-01,23632.166,
2007-02,5335.603,
2007-03,14639.891,
2007-04,7394.492,
2007-05,14367.021,
2007-06,5581.015,
2007-07,9801.448,
