"",BBK01.OEBB16K,BBK01.OEBB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:13,
2002-01,2.413,
2002-04,2.396,
2002-07,2.347,
2002-10,2.250,
2003-01,2.185,
2003-04,2.130,
2003-07,2.064,
2003-10,2.006,
2004-01,1.984,
2004-04,1.959,
2004-07,1.935,
2004-10,1.859,
2005-01,1.772,
2005-04,1.792,
2005-07,1.765,
2005-10,1.746,
2006-01,1.690,
2006-04,1.659,
2006-07,1.641,
2006-10,1.630,
2007-01,1.599,
2007-04,1.601,
2007-07,1.596,
2007-10,1.583,
2008-01,1.562,
2008-04,1.611,
2008-07,1.614,
2008-10,1.596,
2009-01,1.614,
2009-04,2.683,
2009-07,2.629,
2009-10,2.624,
2010-01,2.594,
2010-04,2.603,
2010-07,2.431,
2010-10,2.549,
2011-01,2.662,
2011-04,2.575,
2011-07,2.645,
2011-10,2.586,
2012-01,2.558,
2012-04,2.609,
2012-07,2.567,
2012-10,2.581,
2013-01,2.587,
2013-04,2.565,
2013-07,2.653,
2013-10,2.661,
2014-01,2.658,
2014-04,2.695,
2014-07,2.692,
