"",BBK01.CEBH0X,BBK01.CEBH0X_FLAGS
"",Shares debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:18,
1991-01,25.7,
1991-04,27.3,
1991-07,28.5,
1991-10,27.7,
1992-01,31.9,
1992-04,33.4,
1992-07,29.3,
1992-10,31.3,
1993-01,34.4,
1993-04,38.0,
1993-07,42.2,
1993-10,53.2,
1994-01,56.9,
1994-04,56.7,
1994-07,56.7,
1994-10,57.7,
1995-01,53.6,
1995-04,58.1,
1995-07,61.8,
1995-10,64.9,
1996-01,72.6,
1996-04,77.1,
1996-07,80.8,
1996-10,90.3,
1997-01,113.0,
1997-04,133.4,
1997-07,148.2,
1997-10,156.0,
1998-01,195.6,
1998-04,219.8,
1998-07,180.4,
1998-10,219.5,
1999-01,239.6,
1999-04,267.4,
1999-07,263.4,
1999-10,359.4,
2000-01,392.4,
2000-04,388.1,
2000-07,411.2,
2000-10,383.0,
2001-01,339.9,
2001-04,354.2,
2001-07,266.8,
2001-10,320.6,
2002-01,325.3,
2002-04,268.8,
2002-07,212.2,
2002-10,205.7,
2003-01,181.9,
2003-04,212.3,
2003-07,218.0,
2003-10,237.0,
2004-01,244.4,
2004-04,244.1,
2004-07,234.3,
2004-10,247.3,
2005-01,256.2,
2005-04,269.9,
2005-07,291.2,
2005-10,309.0,
2006-01,357.0,
2006-04,343.3,
2006-07,365.3,
2006-10,384.1,
2007-01,385.9,
2007-04,392.1,
2007-07,354.6,
2007-10,353.8,
2008-01,293.8,
2008-04,283.2,
2008-07,250.3,
2008-10,185.4,
2009-01,164.2,
2009-04,187.3,
2009-07,213.4,
2009-10,223.5,
2010-01,235.8,
2010-04,225.0,
2010-07,235.3,
2010-10,260.4,
2011-01,262.7,
2011-04,267.5,
2011-07,220.9,
2011-10,240.5,
2012-01,258.8,
2012-04,241.6,
2012-07,260.4,
2012-10,269.5,
2013-01,286.7,
2013-04,287.5,
2013-07,309.6,
2013-10,329.4,
2014-01,331.9,
