"",BBK01.OEYJ05S,BBK01.OEYJ05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:59,
2002-01,0.044,
2002-04,0.042,
2002-07,0.044,
2002-10,0.052,
2003-01,0.053,
2003-04,0.055,
2003-07,0.056,
2003-10,0.055,
2004-01,0.056,
2004-04,0.056,
2004-07,0.052,
2004-10,0.055,
2005-01,0.050,
2005-04,0.049,
2005-07,0.049,
2005-10,0.051,
2006-01,0.053,
2006-04,0.053,
2006-07,0.052,
2006-10,0.053,
2007-01,0.049,
2007-04,0.045,
2007-07,0.059,
2007-10,0.056,
2008-01,0.048,
2008-04,0.048,
2008-07,0.058,
2008-10,0.057,
2009-01,0.051,
2009-04,0.051,
2009-07,0.092,
2009-10,0.143,
2010-01,0.153,
2010-04,0.154,
2010-07,0.154,
2010-10,0.156,
2011-01,0.157,
2011-04,0.158,
2011-07,0.178,
2011-10,0.261,
2012-01,0.282,
2012-04,0.307,
2012-07,0.317,
2012-10,0.344,
2013-01,0.346,
2013-04,0.530,
2013-07,0.556,
2013-10,0.557,
2014-01,0.559,
2014-04,0.561,
2014-07,0.580,
