"",BBK01.OEAH58J,BBK01.OEAH58J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:14,
2002-01,1.980,
2002-04,2.089,
2002-07,2.010,
2002-10,2.134,
2003-01,2.164,
2003-04,2.213,
2003-07,2.192,
2003-10,2.251,
2004-01,2.278,
2004-04,2.305,
2004-07,2.384,
2004-10,2.407,
2005-01,2.554,
2005-04,2.628,
2005-07,2.681,
2005-10,2.734,
2006-01,2.818,
2006-04,2.814,
2006-07,2.683,
2006-10,2.703,
2007-01,2.773,
2007-04,2.876,
2007-07,2.857,
2007-10,2.911,
2008-01,2.910,
2008-04,2.974,
2008-07,2.891,
2008-10,3.108,
2009-01,3.416,
2009-04,3.593,
2009-07,3.755,
2009-10,3.933,
2010-01,4.018,
2010-04,4.164,
2010-07,4.166,
2010-10,4.197,
2011-01,4.123,
2011-04,4.133,
2011-07,4.146,
2011-10,4.227,
2012-01,4.271,
2012-04,4.414,
2012-07,4.477,
2012-10,4.634,
2013-01,4.735,
2013-04,4.824,
2013-07,4.891,
2013-10,5.007,
2014-01,4.986,
2014-04,5.187,
2014-07,5.123,
