"",BBK01.OXA8G5,BBK01.OXA8G5_FLAGS
"",Long-term loans (including bills of exchange) to domestic insurance companies - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:58,
1999-01,1.441,
1999-02,1.442,
1999-03,1.417,
1999-04,1.446,
1999-05,1.432,
1999-06,1.500,
1999-07,1.599,
1999-08,1.623,
1999-09,1.615,
1999-10,1.622,
1999-11,1.640,
1999-12,1.636,
2000-01,1.535,
2000-02,1.507,
2000-03,1.511,
2000-04,1.521,
2000-05,1.559,
2000-06,1.557,
2000-07,1.563,
2000-08,1.585,
2000-09,1.570,
2000-10,1.579,
2000-11,1.568,
2000-12,1.499,
2001-01,1.591,
2001-02,1.587,
2001-03,1.589,
2001-04,1.580,
2001-05,1.584,
2001-06,1.523,
2001-07,1.518,
2001-08,1.392,
2001-09,1.413,
2001-10,1.412,
2001-11,1.388,
2001-12,1.403,
2002-01,1.570,
2002-02,1.570,
2002-03,1.563,
2002-04,1.516,
2002-05,1.514,
2002-06,1.679,
2002-07,1.781,
2002-08,1.544,
2002-09,1.693,
2002-10,1.695,
2002-11,1.693,
2002-12,1.669,
2003-01,1.666,
2003-02,1.670,
2003-03,1.668,
2003-04,1.656,
2003-05,1.653,
2003-06,1.661,
2003-07,1.632,
2003-08,1.632,
2003-09,1.718,
2003-10,1.700,
2003-11,1.696,
2003-12,1.664,
2004-01,1.663,
2004-02,1.667,
2004-03,1.699,
2004-04,1.239,
2004-05,1.217,
2004-06,1.284,
2004-07,1.293,
2004-08,1.283,
2004-09,1.248,
2004-10,1.239,
2004-11,1.234,
2004-12,1.339,
2005-01,1.480,
2005-02,1.340,
2005-03,1.267,
2005-04,1.295,
2005-05,1.378,
2005-06,1.432,
2005-07,1.490,
2005-08,1.524,
2005-09,1.541,
2005-10,1.508,
2005-11,1.549,
2005-12,1.577,
2006-01,1.540,
2006-02,1.572,
2006-03,1.583,
2006-04,1.585,
2006-05,1.589,
2006-06,1.574,
2006-07,1.554,
2006-08,1.554,
2006-09,1.555,
2006-10,1.553,
2006-11,1.515,
2006-12,1.742,
2007-01,1.729,
2007-02,1.737,
2007-03,1.742,
2007-04,1.736,
2007-05,1.738,
2007-06,1.775,
2007-07,1.766,
2007-08,1.769,
2007-09,1.766,
2007-10,1.764,
2007-11,1.762,
2007-12,1.987,
2008-01,1.960,
2008-02,2.005,
2008-03,1.999,
2008-04,2.269,
2008-05,2.269,
2008-06,2.281,
2008-07,2.287,
2008-08,2.627,
2008-09,2.592,
2008-10,2.559,
2008-11,2.564,
2008-12,2.334,
2009-01,2.348,
2009-02,2.444,
2009-03,2.417,
2009-04,2.420,
2009-05,2.451,
2009-06,2.414,
2009-07,2.313,
2009-08,2.274,
2009-09,2.247,
2009-10,2.306,
2009-11,2.286,
2009-12,2.347,
2010-01,2.377,
2010-02,2.352,
2010-03,2.337,
2010-04,2.375,
2010-05,2.391,
2010-06,2.410,
2010-07,2.468,
2010-08,2.498,
2010-09,2.484,
2010-10,2.493,
2010-11,2.215,
2010-12,2.096,
2011-01,2.086,
2011-02,2.071,
2011-03,2.062,
2011-04,2.074,
2011-05,2.010,
2011-06,2.025,
2011-07,2.083,
2011-08,2.082,
2011-09,2.064,
2011-10,1.973,
2011-11,1.908,
2011-12,1.825,
2012-01,1.844,
2012-02,1.765,
2012-03,1.706,
2012-04,1.703,
2012-05,1.700,
2012-06,1.698,
2012-07,1.738,
2012-08,1.695,
2012-09,1.701,
2012-10,1.617,
2012-11,1.652,
2012-12,1.586,
2013-01,1.614,
2013-02,1.626,
2013-03,1.625,
2013-04,1.622,
2013-05,1.627,
2013-06,1.541,
2013-07,1.506,
2013-08,1.516,
2013-09,1.502,
2013-10,1.512,
2013-11,1.450,
2013-12,1.453,
2014-01,1.468,
2014-02,1.435,
2014-03,1.440,
2014-04,1.448,
2014-05,1.471,
2014-06,1.447,
2014-07,1.554,
2014-08,1.503,
2014-09,1.439,
2014-10,1.463,
2014-11,1.541,
2014-12,1.487,Provisional value
