"",BBK01.OEAE30G,BBK01.OEAE30G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:59,
2002-01,2.987,
2002-04,3.210,
2002-07,3.177,
2002-10,3.245,
2003-01,3.451,
2003-04,3.802,
2003-07,3.758,
2003-10,3.954,
2004-01,4.002,
2004-04,4.169,
2004-07,4.111,
2004-10,4.049,
2005-01,4.071,
2005-04,3.932,
2005-07,4.070,
2005-10,3.830,
2006-01,3.557,
2006-04,3.338,
2006-07,3.321,
2006-10,3.346,
2007-01,3.357,
2007-04,3.377,
2007-07,3.803,
2007-10,3.781,
2008-01,4.183,
2008-04,4.137,
2008-07,4.670,
2008-10,3.877,
2009-01,3.699,
2009-04,3.658,
2009-07,3.669,
2009-10,3.881,
2010-01,3.428,
2010-04,3.429,
2010-07,4.180,
2010-10,4.162,
2011-01,4.081,
2011-04,4.220,
2011-07,3.979,
2011-10,4.040,
2012-01,3.876,
2012-04,3.720,
2012-07,4.007,
2012-10,3.853,
2013-01,3.889,
2013-04,3.888,
2013-07,3.573,
2013-10,3.735,
2014-01,3.829,
2014-04,3.750,
2014-07,3.892,
